1. marirui  [「燃やせ 燃やせ その心を」]    [タイトーステーション弥富店@愛知県@東海] Score: 1670000000 
537. ton_matu  [淡水に棲む人魚]    [タイトーステーション仙台名掛丁@宮城県@東北] Score: 1334799131 
538. DHAL  [I love IOSYS]    [Ｈｅｙ@東京都@関東] Score: 1334488343 
539. YUZUSOFT  [一世風靡]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1334012970 
540. CAUTION!  [GHOST]    [アーバンスクエア大須@愛知県@東海] Score: 1333468593 
541. BLAZE283  [I love "LIMIT BURST"]    [タイトーステーション池袋西口店@東京都@関東] Score: 1333212698 
542. T  [にぼし！にぼし！きんぐ]    [ウェアハウス川崎九龍城@神奈川県@関東] Score: 1330631430 
543. BBC  [GROOVER]    [セガ所沢@埼玉県@関東] Score: 1330121057 
544. Lelei_K  [死神]    [セガ明石@兵庫県@近畿] Score: 1329854533 
545. kanna  [練習中]    [タイトーステーション大宮店@埼玉県@関東] Score: 1329588692 
546. NANARI  [I love "怪談「カーナビ」"]    [安城メトロポリス@愛知県@東海] Score: 1328564020 
547. SABAMISO  [ヘリで来た。]    [セガワールド成田@千葉県@関東] Score: 1326234210 
548. KasuKasu  [I love "Shadow"]    [タイトーイン綾瀬@東京都@関東] Score: 1324676542 
549. NGGFN  [レンかわいいよレン]    [LOVEJIS LION TAOYUAN@Taiwan@海外] Score: 1323531032 
550. se@3156  [ゆっくりしていってね！]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1323378319 
551. JESUS  [夢現神]    [GAMEZONE(MONG KOK)_h@Hong Kong@海外] Score: 1322835075 
552. sikitoki  [ハローハロー先生]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1322668035 
553. orbit  [双地舞神]    [ポート２４八事店@愛知県@東海] Score: 1322521171 
554. Roku  [ルーキー]    [楽市楽座サンストリート浜北店@静岡県@東海] Score: 1322129632 
555. OZU  [おぜう]    [セガワールド武生@福井県@北陸] Score: 1321728298 
556. 0_0  [無理]    [ＣＬＵＢＳＥＧＡ名古屋伏見@愛知県@東海] Score: 1321690881 
557. R.EIMU  [永遠の巫女]    [タイトーステーション弥富店@愛知県@東海] Score: 1320971400 
558. Sasanqua  [初代SSS CLASS]    [ＣＬＵＢＳＥＧＡ名古屋伏見@愛知県@東海] Score: 1320910049 
559. SU-3.  [VEGAS GOD]    [サン　シャイン@岩手県@東北] Score: 1319312647 
560. SSKM  [イフリート]    [群馬レジャーランド藤岡店@群馬県@関東] Score: 1319157496 
561. HAM  [WARNING!!]    [タイトーステーション難波店@大阪府@近畿] Score: 1318755476 
562. Al2O3  [梅田先生]    [ＡＭパークジアス上大岡@神奈川県@関東] Score: 1318446301 
563. YUSUKE  [死欲の半霊]    [ユーズランド下田店@青森県@東北] Score: 1318267399 
564. 4K293...  [右肩の先生]    [アピナ飯田店@長野県@信越] Score: 1317878077 
565. SftCmdQ  [お断ユメちゃん！]    [タイトーステーション上野アメ横@東京都@関東] Score: 1315735340 
566. Yuzuha  [GROOVER]    [秋葉原ＧｉＧＯ@東京都@関東] Score: 1314730649 
567. RYUCCI  [グルーヴ・リボルバー・ゴッド]    [ムトス相模原店@神奈川県@関東] Score: 1314360789 
568. BOY  [I love STG]    [楽市楽座サンストリート浜北店@静岡県@東海] Score: 1314185344 
569. HyoJJi!  [I love "W.W.D"]    [ARCADE1@Korea@海外] Score: 1312429229 
570. KOU  [I love t+pazolite]    [ラウンドワンＤＣ東京プラザ店@東京都@関東] Score: 1311978686 
571. BLACK  [金色の異端児]    [ＣＬＵＢＳＥＧＡ新杉田@神奈川県@関東] Score: 1311555721 
572. nagaitoR  [「燃やせ 燃やせ その心を」]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1311395208 
573. Mogyugyu  [I love "2112410403927243233368"]    [GAMEMASTER(PARIS VANJAVA)@Indonesia@海外] Score: 1310737819 
574. STS  [アドリブ調査員]    [ラウンドワン秋田店@秋田県@東北] Score: 1310622709 
575. millin  [破壊神]    [ブルックリン　ストライク@秋田県@東北] Score: 1310438694 
576. ZoNE  [I love "]-[|/34&lt;#!"]    [ラウンドワン青森店@青森県@東北] Score: 1309958238 
577. HIGAP  [キラリと走る星]    [ディノスパーク帯広店@北海道@北海道] Score: 1307740475 
578. 43  [「誰も知らない おとぎばなし」]    [タイトー海老名ビナウォーク店@神奈川県@関東] Score: 1307327264 
579. UMM  [I love "Hello 31337"]    [タイトーステーション国分寺店@東京都@関東] Score: 1307171653 
580. SAKURA  [悲劇の「女王」]    [ゲームファンタジア平塚@神奈川県@関東] Score: 1306864617 
581. KOUXT  [MikuRinGod]    [メジャーロード黒埼店@新潟県@信越] Score: 1306385169 
582. HARUHI  [世界を大いに盛り上げる女神]    [AMERICAN POOL@Hong Kong@海外] Score: 1305047632 
583. A.N.C.B.  [GROOVER]    [宝島　浦和美園店@埼玉県@関東] Score: 1304740837 
584. TSUBASA  [超COOL!]    [タイトーステーション秋葉原店@東京都@関東] Score: 1304409280 
585. HIDEO  [北海道勢]    [プレイロットジョイ@東京都@関東] Score: 1304042195 
586. Taka+80  [牛タン]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1303708536 
587. METAL+  [I love リンカ]    [千葉レジャーランド稲毛店@千葉県@関東] Score: 1302309231 
588. MARISA  [普通の魔法使い]    [タイトーステーション仙台名掛丁@宮城県@東北] Score: 1302205133 
589. KATSUKI  [わわわわーにん！]    [ｎａｍｃｏ梅田店@大阪府@近畿] Score: 1300845893 
590. Genro!  [しんどい]    [GAMEMASTER(PARIS VANJAVA)@Indonesia@海外] Score: 1300794600 
591. nakaparu  [ＥＸ級小結]    [ＡＭパーク　ネバーランド２@神奈川県@関東] Score: 1300763050 
592. sin.  [福島勢]    [セガワールド白河@福島県@東北] Score: 1300415019 
593. prn  [尊い・・・]    [ＩＮＴＥＲ　ＰＡＲＫ　＋１@栃木県@関東] Score: 1300249521 
594. Lost@D  [GROOVER]    [アムネット五反田店@東京都@関東] Score: 1299566663 
595. AZKKR  [No friend god]    [タイトーステーション町田店@東京都@関東] Score: 1298950484 
596. LOLME  [神奈川勢]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1298839697 
597. Cukr  [わわわわーにん！]    [アピナ鈴鹿店@三重県@東海] Score: 1297615678 
598. SiL_VER1  [グルーヴ三百段]    [MOFUN SEOUL@Korea@海外] Score: 1297252120 
599. Nakagawa  [無理]    [セガ秋葉原@東京都@関東] Score: 1296980522 
600. CO-kichi  [I love Xenoa]    [セガワールド北山形@山形県@東北] Score: 1296778099 
********************************************************************************************
601. Noeleve  [全知全能の神]    [スペースファンタジーインフィニ@青森県@東北] Score: 1293980179 
602. !  [ドーモ、グルーヴァー=サン…]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1293239463 
603. T_TOSHI  [魔奴化]    [セガワールドＭＥＧＡ@広島県@中国] Score: 1293109323 
604. NODOKA  [RinLenGod]    [ＡＭパーク宝島十日町店@新潟県@信越] Score: 1292613934 
605. seki4ta  [尊い・・・]    [タイトーステーション衣山店@愛媛県@四国] Score: 1290923413 
606. mdr  [I love Ray series]    [ピンクパンサー日立店@茨城県@関東] Score: 1289579322 
607. Kamui.  [悪ノ女神]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1289538683 
608. Touya  [THE BLUE MASTER]    [ラウンドワン横浜駅西口店@神奈川県@関東] Score: 1286282490 
609. nEkO?  [猫神]    [青森メトロポリス@青森県@東北] Score: 1285740540 
610. LOVE  [わーい！]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1285269028 
611. RETSU  [Ever Free God]    [プレイロットジョイ@東京都@関東] Score: 1284856687 
612. DJ+87GT  [強欲の魔法使い]    [タイトー海老名ビナウォーク店@神奈川県@関東] Score: 1284264539 
613. Miso  [そーなのかー]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1284223756 
614. ATMField  [裏切り神]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1283483355 
615. TSL  [ヘリで来た。]    [プレイランドエフワンＲ@宮城県@東北] Score: 1281265787 
616. AKIRA  [落ち着きなさNo.1]    [アピナ鈴鹿店@三重県@東海] Score: 1280739878 
617. NA2K@WA  [そんなんARIKA]    [ゲームパニック甲府@山梨県@関東] Score: 1280402044 
618. NODAM@S  [第二回天下一音ゲ祭 ファイナリスト]    [セガ幕張@千葉県@関東] Score: 1280372581 
619. teiramic  [Kick It Out Master]    [茂原ミナミボウル@千葉県@関東] Score: 1280367490 
620. ruuna  [半人半霊の神]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1279495244 
621. GraNX999  [I love Ray series]    [ユーズランド高岡店@富山県@北陸] Score: 1279472719 
622. Hobble  [Plot Type 3 God]    [GAMEMASTER(PARIS VANJAVA)@Indonesia@海外] Score: 1278917900 
623. necco*  [INFINITY]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1278235865 
624. FUKAKEN  [ルーキー]    [ラウンドワン浜大津アーカス店@滋賀県@近畿] Score: 1277938797 
625. BLAZE  [ソウルメイト]    [ラウンドワン徳島・万代店@徳島県@四国] Score: 1277151553 
626. TAKAHIRO  [URBAN MASTER]    [ワンダーヴュー成田店@千葉県@関東] Score: 1276785865 
627. Soahc@NN  [Master 1969]    [アムネット五反田店@東京都@関東] Score: 1276715218 
628. 6DammK9  [I love "東方輝仁裂"]    [GAMEZONE(MONG KOK)_h@Hong Kong@海外] Score: 1276405127 
629. YUKINAGI  [半人半霊の神]    [タイトーステーション池袋西口店@東京都@関東] Score: 1273806894 
630. SkyFox  [LINK KING]    [TOM'S(DREAM MALL)@Taiwan@海外] Score: 1273741810 
631. KAGE  [お星さまにお願い☆]    [ギガステーション戸田店@埼玉県@関東] Score: 1273456758 
632. Nico252*  [真・初段]    [プラサカプコン石巻店@宮城県@東北] Score: 1273353174 
633. PPPAAYA  [GROOVER]    [プレイランドキング円町店@京都府@近畿] Score: 1272977019 
634. PLATINUM  [DEC, 2017 TOP RANKER]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1272703994 
635. Caper  [グルメキング]    [セガワールドアルカス@東京都@関東] Score: 1270580379 
636. SnowWeln  [SUN]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1270481854 
637. tzw10430  [GROOVER]    [キャッツアイ新札幌店@北海道@北海道] Score: 1269586656 
638. NasKa  [GROOVER]    [アピナ佐久インター店@長野県@信越] Score: 1267915686 
639. kamemo>@  [全都道府県グルメ完食]    [タイトーステーション金沢店@石川県@北陸] Score: 1267076438 
640. KOTA-2  [EXTREME]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1266051943 
641. HAYATE  [東方六楽抄]    [ゲームズ　ＩＭＯＮ@東京都@関東] Score: 1266013479 
642. SUG!L  [I love "Roteen da Moon"]    [ゲームパニック甲府@山梨県@関東] Score: 1265907792 
643. daichi  [ノルニル神]    [タイトーステーション大阪日本橋@大阪府@近畿] Score: 1265808559 
644. NETABARE  [I am King]    [アーバンスクエア大須@愛知県@東海] Score: 1265781054 
645. DENPUN  [三重の食いしん坊]    [タイトーステーション大須店@愛知県@東海] Score: 1265549779 
646. CHEN.  [労働反対先生]    [エムエムランド@東京都@関東] Score: 1264670449 
647. WIND  [I LOVE 鏡音リン]    [ゲームシティプラス川越店@埼玉県@関東] Score: 1264636126 
648. KEITA_KU  [つるぺた女神]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1263853431 
649. Minuit  [聖なるグルーヴァー]    [ｎａｍｃｏイオンＭＫＹＯＴＯ店@京都府@近畿] Score: 1261832586 
650. Nitro  [Don't stop funky music!]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1260995895 
651. F-RAY-A  [超高校級の「ギャル」]    [ARCADE1@Korea@海外] Score: 1260720252 
652. kt_flcl  [星の歌姫]    [プレイロットジョイ@東京都@関東] Score: 1260503675 
653. MASAKAZU  [不可能を無にする者]    [スターダスト@岡山県@中国] Score: 1259880454 
654. GESUKO  [ドリームパーティーゴッド]    [埼玉レジャーランド春日部店@埼玉県@関東] Score: 1259058330 
655. @_@l<  [I LOVE リズムゲーム]    [オークランドシティ津店@三重県@東海] Score: 1258053163 
656. KUROBARA  [神術「吸血鬼幻想」]    [キャッツアイ麻生店@北海道@北海道] Score: 1256887431 
657. milk-T  [「未熟な暴れ者」]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1256855026 
658. KANATA  [絶望]    [アミパラがいな店@鳥取県@中国] Score: 1253251950 
659. Sugi  [アドリブ係長]    [タイトーステーション柏店@千葉県@関東] Score: 1253026513 
660. BASHI  [プラスチックシン]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1252809167 
661. *SIU-YU*  [秘弾「そして誰もいなくなるか？」]    [GOLD STAR(TSUEN WAN)@Hong Kong@海外] Score: 1251175216 
662. ZUNPAPA  [初代ANTHEM]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1250551253 
663. Ryu  [ゴッド・オブ・ナイツ]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1250496333 
664. SATSUKI  [I love Xenoa]    [タイトーラザウォーク甲斐双葉店@山梨県@関東] Score: 1250256039 
665. O_____O  [「馬鹿じゃないの？」]    [RED HAT ELEPHANT(JHONGLI SOGO)@Taiwan@海外] Score: 1249672537 
666. Shiba  [メカクシ団]    [セガ幕張@千葉県@関東] Score: 1247935535 
667. YKL  [キャッチ・ザ・ハート]    [セガ金山@愛知県@東海] Score: 1247477508 
668. ACES  [S+級マグロ]    [プレイロットジョイ@東京都@関東] Score: 1246752472 
669. Glosoli  [流星神]    [タイトー仙台ベガロポリス店@宮城県@東北] Score: 1246679239 
670. zaki/  []-[|/34&lt;#! 60|)]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1245764685 
671. TANJ  [京都勢]    [秋葉原ＧｉＧＯ@東京都@関東] Score: 1243023744 
672. Kirby#64  [青龍]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1242622569 
673. TENTAI2  [天体観測神]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1242496773 
674. ALPATROS  [行脚神]    [プラサカプコン横須賀店@神奈川県@関東] Score: 1240738208 
675. KAISEN  [LINK TRANCE]    [ソユーゲームフィールド天童店@山形県@東北] Score: 1240605126 
676. KENTA*  [□△×○神]    [プラサカプコン甲府店@山梨県@関東] Score: 1240485808 
677. Toul  [玄武]    [スタジオプリモ甲府店@山梨県@関東] Score: 1239378853 
678. 5/7  [ﾆｼﾞｵﾀｺﾐｭｼｮｰﾋｷﾆｰﾄ]    [セガ幕張@千葉県@関東] Score: 1238899008 
679. MAC  [全都道府県完全制覇]    [ラウンドワン前橋店@群馬県@関東] Score: 1238767923 
680. 3345678  [メイド先生]    [YOUNG KEY PARADISE(DATONG)@Taiwan@海外] Score: 1238747782 
681. LDT_JACK  [Ｓ級神]    [TOM'S(YILAN MINSHENG)@Taiwan@海外] Score: 1238660060 
682. .torch  [女々しい大王]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1238140597 
683. EVA  [ガンスト愛殿堂入り]    [タイトーＦステーション博多店@福岡県@九州] Score: 1237460551 
684. ToKi  [でんぱ神]    [ラウンドワン市原店@千葉県@関東] Score: 1236855248 
685. ACHAKURA  [I love IA 2016]    [ソユーゲームフィールド堺鉄砲町@大阪府@近畿] Score: 1236088044 
686. JOTIO  [尊い・・・]    [ゲームパニック甲府@山梨県@関東] Score: 1235426130 
687. muku  [FAIRY]    [タイトーＦステーション博多店@福岡県@九州] Score: 1235211466 
688. XER0  [ECLIPSES EYE]    [MOFUN GAME CENTER@Korea@海外] Score: 1234986364 
689. PONTA-X  [はじめてのぐるこす]    [ゲームスポット　アップル@富山県@北陸] Score: 1233728678 
690. NAKAHITO  [岐阜勢]    [ジョイプラザ豊岡店@兵庫県@近畿] Score: 1233350656 
691. HL  [LINK LINK KING]    [タイトーＦステーション静岡店@静岡県@東海] Score: 1232728468 
692. waharu  [一人じゃないんだ]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1232582899 
693. DANDANDA  [Tell Your God]    [楽市楽座イオンモール松本店@長野県@信越] Score: 1232200767 
694. Xa<>_xx  [戦車女王]    [TOM'S WORLD(MING YAO)@Taiwan@海外] Score: 1231084059 
695. ALICE  [閉じた恋の瞳]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1230996173 
696. Kouhei  [ouroboros master]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1230040317 
697. SHINDEN  [地域制覇]    [タイトーイン綾瀬@東京都@関東] Score: 1229822047 
698. DEBU-KUN  [泡はきドラゴン]    [アピナ富山豊田店@富山県@北陸] Score: 1228995661 
699. Yanma  [Ｓ＋級かき氷]    [セガワールド上田@長野県@信越] Score: 1228667859 
700. trip  [東京勢]    [ラウンドワン池袋店@東京都@関東] Score: 1227438173 
********************************************************************************************
701. NAZO-J.I  [GREAT THING]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1227067281 
702. MarioLT  [神出鬼没]    [アピナ松本店@長野県@信越] Score: 1226491717 
703. IST-GC3L  [I love でんぱ組.inc]    [セガ弘前@青森県@東北] Score: 1225939734 
704. ruruki  [ユニバース]    [タイトーイン綾瀬@東京都@関東] Score: 1225803398 
705. SSS  [第四回天下一チャレンジャー]    [ゲームランド松山@長崎県@九州] Score: 1225650504 
706. TRACE  [シンデレラ ゴッデス]    [シーサイドリゾートＡＰ@栃木県@関東] Score: 1223794513 
707. SKYWAVE+  [満月神]    [ＹＡＺ寝屋川店@大阪府@近畿] Score: 1223725232 
708. KATYO*  [Marry me, God]    [セガ松山@愛媛県@四国] Score: 1223406567 
709. GS*9*  [MASTER JUMPER]    [アポロゲームセンター沖洲店@徳島県@四国] Score: 1223222777 
710. rm+-rf+/  [ふわっふわ15歳]    [ｎａｍｃｏ王子サンスクエア店@東京都@関東] Score: 1223044015 
711. Sibatya  [漆黒の堕天使]    [ｎａｍｃｏ梅田店@大阪府@近畿] Score: 1222728659 
712. AMAKI  [I love Xenoa]    [セガ尾道@広島県@中国] Score: 1222522988 
713. LeonardH  [Ｓ級中将]    [アピナ松本店@長野県@信越] Score: 1218934932 
714. HEI.  [太陽神]    [SUPER KING GAME CENTRE@Hong Kong@海外] Score: 1218813498 
715. Na-Nya**  [Don't stop funky music!]    [ゲームハウス　アリババ@岐阜県@東海] Score: 1218175213 
716. Hiver  [TECHNO COMPLEX MASTER]    [ラウンドワン栃木・樋ノ口店@栃木県@関東] Score: 1218111278 
717. IB  [INFINITY]    [EX10(MBK)@Thailand@海外] Score: 1218041056 
718. Oriens  [JAN, 2018 TOP RANKER]    [ディノスパーク札幌中央店@北海道@北海道] Score: 1217984601 
719. MODOKI  [DIVINE GOD]    [ROUND1(PUENTE HILLS)@America@海外] Score: 1217829090 
720. -------0  [初代☆]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1217762609 
721. TAKACHAN  [アルカノイドvsインベーダーキング]    [ＣＬＵＢＳＥＧＡ自由ヶ丘@東京都@関東] Score: 1217426167 
722. Rotter.  [My Voice is God.]    [タイトーステーション立川北口店@東京都@関東] Score: 1217334413 
723. ToshiEXE  [I love Xenoa]    [セガワールド高城@大分県@九州] Score: 1216649100 
724. Flaxer#  [無名の王]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1216417643 
725. uroco@99  [うー！がぉー！]    [あうとばぁん@大阪府@近畿] Score: 1216401634 
726. KANO_8  [バビロン神]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1216266314 
727. ITODA  [そんなんARIKA]    [オリエンタルバッティング可児店@岐阜県@東海] Score: 1214393571 
728. Esuka  [ヴァンパイア姫]    [セガ今市@栃木県@関東] Score: 1213139210 
729. *COCO*  [LINK PERFECT]    [ナムコランド広島店@広島県@中国] Score: 1213057839 
730. KRNK  [「未熟な暴れ者」]    [ラウンドワン町田店@東京都@関東] Score: 1212312417 
731. HK-R  [I LOVE ZUNTATA]    [ギガゾーン広島駅前店@広島県@中国] Score: 1211986264 
732. Lemi.  [I love "ミュージック・リボルバー"]    [フエゴワールド佐賀@佐賀県@九州] Score: 1211625997 
733. AGNES+Y  [全知全能の王]    [SUPER KING GAME CENTRE@Hong Kong@海外] Score: 1210807396 
734. Galette  [I love ロンメイ]    [タイトーＦステーション静岡店@静岡県@東海] Score: 1210654815 
735. Silly3  [がんばユメちゃん]    [セガ神楽坂@東京都@関東] Score: 1210595444 
736. Tyome  [ソウカイ・シックスゲイツ]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1210225371 
737. IKU*LEA  [第三回天下一音ゲ祭 ファイナリスト]    [セガワールド龍ヶ崎@茨城県@関東] Score: 1208521700 
738. HiBiKi  [Ｓ＋級コーヒー]    [セガ赤羽@東京都@関東] Score: 1208316666 
739. Cree_Fry  [I LOVE 初音ミク]    [GAME TOPIA@Korea@海外] Score: 1207750110 
740. EDAMAME  [I love Xenoa]    [タイトー旭サンモール店@千葉県@関東] Score: 1206320854 
741. NYUDORA  [無理]    [タイトーステーション弥富店@愛知県@東海] Score: 1205793707 
742. REIMU  [例大祭先生]    [ラウンドワン川崎大師店@神奈川県@関東] Score: 1205616699 
743. Rz_m4lly  [激レア！]    [タイトーフジグラン北島店@徳島県@四国] Score: 1204575206 
744. YAICHI  [僕のカミサマ]    [アピナ松本店@長野県@信越] Score: 1202448070 
745. wirry+EX  [アドリブ村長]    [ラウンドワン池袋店@東京都@関東] Score: 1202275192 
746. Hiro  [I love "Blue Destiny Blue"]    [セガワールド船堀@東京都@関東] Score: 1201581315 
747. AQUASKY  [I love GUMI]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1201516960 
748. ishimine  [STORM CAUSER]    [トヤマ　レジャーランド　呉羽店@富山県@北陸] Score: 1200265645 
749. Sefia  [ピュアヒューリーズ]    [シルクハット川崎ダイス@神奈川県@関東] Score: 1200220806 
750. Ogi  [StargazeR GoD]    [ウェアハウス川崎九龍城@神奈川県@関東] Score: 1200205732 
751. KURORO*  [S級上杉謙信]    [タイトーステーション国分寺店@東京都@関東] Score: 1199826199 
752. No7mo  [ドーモ、グルーヴァー=サン…]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1199070042 
753. HUURAi  [I LOVE バブルン]    [ＣＬＵＢＳＥＧＡ秋葉原新館@東京都@関東] Score: 1197833758 
754. BLACKFLY  [I love STG]    [アドアーズ大和Ａ館@神奈川県@関東] Score: 1196437134 
755. LEGACY  [冬のミクさんマジ天使]    [ゲームパニックつくば@茨城県@関東] Score: 1196389676 
756. SASUBE  [Keep the King]    [セガ尾道@広島県@中国] Score: 1196206860 
757. 273  [村人A]    [セガワールド大森@東京都@関東] Score: 1195966937 
758. KC_puz7  [タイトーLOVE]    [ゲームランド　サンキング水沢店@岩手県@東北] Score: 1195663299 
759. Rakkyo  [I love "Five to Seven"]    [ラウンドワン梅田店@大阪府@近畿] Score: 1195546769 
760. clear  [LINK LINK GOD]    [ジャムジャム神栖店@茨城県@関東] Score: 1195532927 
761. KIRITO  [サイエンスゴッド]    [MOFUN SEOUL@Korea@海外] Score: 1194850976 
762. GOMAmugi  [村人A]    [セガ幕張@千葉県@関東] Score: 1194705593 
763. HATHUNE  [名も無い幼い王]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1193556364 
764. RICE  [初代SSS CLASS]    [ゲームコーナー東部@宮城県@東北] Score: 1193271970 
765. VIRGO  [SUPER STAR]    [セガ小名浜@福島県@東北] Score: 1192439629 
766. Ryota  [練習中]    [セガ伊勢@三重県@東海] Score: 1192333994 
767. Ellen  [I love "夢現"]    [セガ難波アビオン@大阪府@近畿] Score: 1192127129 
768. csmS2000  [Ｓ＋級おでん]    [セガワールド福生@東京都@関東] Score: 1191513642 
769. ENE*  [全都道府県完全制覇]    [タイトーステーション浜松店@静岡県@東海] Score: 1191322137 
770. ARISU  [冬のミクさんマジ天使]    [セガワールド館林@群馬県@関東] Score: 1191188918 
771. O-YA  [岐阜勢]    [セガワールドアクアウォーク大垣@岐阜県@東海] Score: 1190218654 
772. muya-!?  [みんなのアイドル]    [セガワールド草津@滋賀県@近畿] Score: 1189642941 
773. DBB_HTC  [I love "東方不死鳥"]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1189599290 
774. Nagisa  [God more raves?]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1188681198 
775. ARROW  [Ｓ＋級ラーメン]    [ラウンドワン京都河原町店@京都府@近畿] Score: 1188342194 
776. Y+zeki  [ヤタガラス・ゴッド]    [ユーズランド太田店@群馬県@関東] Score: 1187088344 
777. COTA-D  [聖なるグルーヴァー]    [ユーズランド　となみ店@富山県@北陸] Score: 1186344565 
778. ARUSU()  [GOD]    [タイトーステーション秋葉原店@東京都@関東] Score: 1185732595 
779. Tutinoko  [七福神]    [タイトーステーション所沢店@埼玉県@関東] Score: 1184434415 
780. HIROMU  [両生類の先生]    [タイトーステーション池袋西口店@東京都@関東] Score: 1184295119 
781. IM  [ドウニデモ＝ナ＝レ(76)]    [ゲームプラザセントラル浦安店@千葉県@関東] Score: 1184006362 
782. ethyl  [ポリリズムマスター]    [タイトーステーション大須店@愛知県@東海] Score: 1183829264 
783. AiR-4sol  [太鼓の神]    [タイトーステーション藤沢店@神奈川県@関東] Score: 1183275017 
784. MOLLY  [S+級カニカマ]    [プレイロットジョイ@東京都@関東] Score: 1182004283 
785. w@  [キャッチ・ザ・ハート]    [ＳＥＧＡＡＲＥＮＡ中間@福岡県@九州] Score: 1181901057 
786. CONVERT  [悪魔の妹]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1179987978 
787. RIC  [STORM CAUSER]    [ファンタジスタ@岡山県@中国] Score: 1179727847 
788. ORANGESU  [Black King]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1178516333 
789. tnpopo!!  [アイスクリーム神]    [ゲームチャリオット五井店@千葉県@関東] Score: 1178305653 
790. Ryusuke  [WARNING!!]    [タイトーＦステーション博多店@福岡県@九州] Score: 1178260507 
791. 8thSHUHO  [メリークリスマス！]    [トヤマ　レジャーランド　呉羽店@富山県@北陸] Score: 1177647307 
792. rikuoh-M  [甘い甘い神様]    [アミューズファクトリー@愛知県@東海] Score: 1177280097 
793. kyari  [秘弾「そして誰もいなくなるか？」]    [ハイテクランド　キューデン@東京都@関東] Score: 1176247866 
794. NOZOMI!  [夢に向かって飛び立て！]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1175498806 
795. MIKU.39  [Don't stop funky music!]    [ラウンドワン横浜駅西口店@神奈川県@関東] Score: 1175139672 
796. KOU  [さぁ…ゲームスタートだ！]    [ＩＮＴＥＲ　ＰＡＲＫ　＋１@栃木県@関東] Score: 1174859760 
797. camnaven  [ヤンキー先生]    [セガ幕張@千葉県@関東] Score: 1174651106 
798. Astel  [完全なる墨染の神]    [タイトーステーション秋葉原店@東京都@関東] Score: 1174569433 
799. Reivan  [GROOVER]    [秋葉原ＧｉＧＯ@東京都@関東] Score: 1172820185 
800. URX-OD.Z  [旅人]    [タイトーステーション立川北口店@東京都@関東] Score: 1172814069 
********************************************************************************************
801. OBOBOAAA  [技名を叫んでから殴る先生]    [ラウンドワン板橋店@東京都@関東] Score: 1172568701 
802. TLINE623  [和歌山勢]    [エンターテインメントフィールド@大阪府@近畿] Score: 1172519943 
803. *paripi*  [星の歌姫]    [ゲームプラザセントラル浦安店@千葉県@関東] Score: 1172305420 
804. TxiIL  [一人じゃないんだ]    [楽市楽座イオンモール松本店@長野県@信越] Score: 1171565175 
805. +_RM13_  [EXTREME]    [RED HAT ELEPHANT(JHONGLI SOGO)@Taiwan@海外] Score: 1171443633 
