12. marirui  [ouroboros god]    [タイトーステーション弥富店@愛知県@東海] Score: 1635999269 
873. *SHEEP*  [十二宗家]    [ナムコランドＨＣ名古屋店@愛知県@東海] Score: 1121966141 
875. ZU  [クラーケン]    [ラウンドワン名古屋西春店@愛知県@東海] Score: 1121516443 
876. Astral  [Z神]    [豊川メトロポリス@愛知県@東海] Score: 1119988037 
878. mkt  [BIG STAR]    [ゲームプラザ　ミッキー@愛知県@東海] Score: 1119452860 
889. SoLA  [GROOVER]    [ＧＲＥＡ@愛知県@東海] Score: 1111790982 
896. KEISUKE  [グルーヴ皆伝]    [ラウンドワン半田店@愛知県@東海] Score: 1107554136 
900. SYUSYOU  [Oh! Jesus!]    [セガ金山@愛知県@東海] Score: 1106110518 
904. SYAGE  [どんつくどんつくどんつくどんつく]    [ゲームランド（岡崎）@愛知県@東海] Score: 1104664132 
921. DJGEN115  [無理]    [半田メトロポリス@愛知県@東海] Score: 1096863657 
927. Gemma  [全国行脚中]    [タイトーステーション豊橋店@愛知県@東海] Score: 1089542514 
941. C*Crow:S  [Future Coaster God]    [セガ岡崎@愛知県@東海] Score: 1080841566 
959. Al  [ANGEL]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1069186528 
960. Karen  [railgun god]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1068042290 
