2. marirui  [ピッチピチ16歳]    [タイトーステーション大須店@愛知県@東海] Score: 1573000000 
708. KEY.MA  [Ｓ級鬼神]    [ラウンドワン鳴海店@愛知県@東海] Score: 1166430388 
729. M196  [五次元神]    [タイトーステーション弥富店@愛知県@東海] Score: 1154113622 
780. ZU  [クラーケン]    [タイトーステーション大須店@愛知県@東海] Score: 1132525567 
791. mkt  [ケンタウロス]    [セガワールド尾西@愛知県@東海] Score: 1123322009 
804. rikuoh-M  [次の曲が始まるのです女神]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1116233453 
807. NYUDORA  [I love "MERLIN"]    [アミューズファクトリー@愛知県@東海] Score: 1113751927 
816. Taku_N.  [GROOVER]    [ユーファクトリー安城店@愛知県@東海] Score: 1108699252 
843. Gemma  [JUPITER]    [ユーファクトリー安城店@愛知県@東海] Score: 1093650757 
850. SoLA  [GROOVER]    [ＧＲＥＡ@愛知県@東海] Score: 1089714136 
855. KEISUKE  [グルーヴ皆伝]    [名古屋レジャーランドささしま店@愛知県@東海] Score: 1087392566 
858. Astral  [Z神]    [コムテックタワー@愛知県@東海] Score: 1084699058 
870. Karen  [railgun god]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1077627650 
908. DJGEN115  [ベテラン]    [タイトーステーション大須店@愛知県@東海] Score: 1059145687 
911. SYUSYOU  [Oh! Jesus!]    [セガ金山@愛知県@東海] Score: 1058473408 
931. m_noburi  [お断ユメちゃん！]    [名古屋レジャーランド　内田橋店@愛知県@東海] Score: 1049732613 
933. SYAGE  [どんつくどんつくどんつくどんつく]    [ゲームランド（岡崎）@愛知県@東海] Score: 1047393643 
947. Al  [ENDLESS DREAM KING]    [半田メトロポリス@愛知県@東海] Score: 1040725653 
958. TK  [GROOVER]    [ＣＬＵＢＳＥＧＡ名古屋伏見@愛知県@東海] Score: 1031812366 
972. C*Crow:S  [息吹神]    [セガ岡崎@愛知県@東海] Score: 1027451176 
974. Iris*HNY  [最速最高神]    [セガワールド上小田井@愛知県@東海] Score: 1024877310 
975. MINT  [BIG SLOPE]    [小牧メトロポリス@愛知県@東海] Score: 1024863506 
