22. MELLROCK  [Ｓ＋級うどん]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1649109553 
646. YUKINAGI  [無彩色神]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1247928100 
657. Miso  [そーなのかー]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1243011478 
660. SnowWeln  [PLUTO]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1241816964 
667. BASHI  [I love "人造エネミー"]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1236561831 
668. Ryu  [HG魔改造ポリビニル神]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1235114303 
677. nakaparu  [緑眼のジェラシー]    [ＡＭパーク　ネバーランド２@神奈川県@関東] Score: 1230231752 
682. ALICE  [閉じた恋の瞳]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1227000745 
689. zaki/  [影の神]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1223160366 
700. AZKKR  [No friend god]    [タイトー海老名ビナウォーク店@神奈川県@関東] Score: 1216799083 
711. .torch  [女々しい大王]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1212277972 
712. Ogi  [StargazeR GoD]    [ウェアハウス川崎九龍城@神奈川県@関東] Score: 1209205732 
714. Galette  [I love ロンメイ]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1207873758 
731. Sefia  [ピュアヒューリーズ]    [シルクハット川崎ダイス@神奈川県@関東] Score: 1200487542 
737. ALPATROS  [行脚神]    [プラサカプコン横須賀店@神奈川県@関東] Score: 1198200190 
743. Rakkyo  [I love "Five to Seven"]    [イミグランデ上永谷店@神奈川県@関東] Score: 1194739669 
749. vinter  [I love "魔法少女幸福論"]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1193470003 
775. MIKU.39  [Don't stop funky music!]    [ラウンドワン横浜駅西口店@神奈川県@関東] Score: 1178755281 
776. AiR-4sol  [Bright God]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1178709899 
784. E-Z1  [I love t+pazolite]    [ＡＭスポットドリームス@神奈川県@関東] Score: 1174893878 
796. MOCH  [ウミユリ神]    [ラウンドワンららぽーと湘南平塚@神奈川県@関東] Score: 1171274550 
806. cuberick  [練習中]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1165945636 
822. tsuok  [七転八起]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1157471955 
829. ORANGESU  [Black King]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1152527516 
831. shimochi  [Future Coaster King ]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1152377599 
846. Un<hiKng  [クロビってる？]    [タイトー小田原シティーモール店@神奈川県@関東] Score: 1143946033 
847. *P*R*P*  [S+級ゆきだるま]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1143714977 
852. DOSAN*  [初PERFECT]    [ラウンドワン川崎大師店@神奈川県@関東] Score: 1140757097 
863. OCHA  [駆け出し]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1136978616 
885. taku  [わぁい先生大好き]    [シルクハット川崎ダイス@神奈川県@関東] Score: 1122290946 
896. REIMU  [例大祭先生]    [ラウンドワン川崎大師店@神奈川県@関東] Score: 1117963645 
903. HAYASHI  [神奈川勢]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1113745629 
914. SUTORES*  [下剋上]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1106491588 
925. Yuuki  [東方参面録]    [タイトー海老名ビナウォーク店@神奈川県@関東] Score: 1100519583 
944. MATCHAN  [GROOVER]    [ラウンドワン川崎大師店@神奈川県@関東] Score: 1088944438 
980. fk  [村人A]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1066638929 
987. MEIRA  [ペガサス]    [アドアーズ藤沢北口@神奈川県@関東] Score: 1064171581 
988. Elluna  [IRON FOSSIL]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1063707966 
997. CPA.  [ベテラン]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1057026409 
999. HAURA  [Reload Master]    [パームトップス@神奈川県@関東] Score: 1056315981 
