1. marirui  [Ｓ級幼稚園児]    [コムテックタワー@愛知県@東海] Score: 1643000000 
542. CAUTION!  [GHOST]    [ＧＲＥＡ@愛知県@東海] Score: 1313831090 
561. 0_0  [がっかリンカちゃん]    [ＣＬＵＢＳＥＧＡ名古屋伏見@愛知県@東海] Score: 1301871066 
564. NANARI  [I love "怪談「カーナビ」"]    [コムテックタワー@愛知県@東海] Score: 1300259041 
565. Sasanqua  [無理]    [タイトーステーション大須店@愛知県@東海] Score: 1300235927 
623. NETABARE  [I am King]    [ポート２４八事店@愛知県@東海] Score: 1260436933 
627. @_@l<  [I LOVE リズムゲーム]    [タイトーステーション弥富店@愛知県@東海] Score: 1255750538 
675. YKL  [キャッチ・ザ・ハート]    [タイトーステーション弥富店@愛知県@東海] Score: 1227891131 
708. orbit  [Linear God]    [ポート２４八事店@愛知県@東海] Score: 1207559291 
757. ethyl  [ポリリズムマスター]    [タイトーステーション大須店@愛知県@東海] Score: 1183829264 
785. NYUDORA  [無理]    [ゲームランド（岡崎）@愛知県@東海] Score: 1169692915 
804. rikuoh-M  [甘い甘い神様]    [ユーズランド東浦店@愛知県@東海] Score: 1161113605 
807. KEY.MA  [隠れた逸材]    [ユーワールド豊明@愛知県@東海] Score: 1160333240 
850. M196  [五次元神]    [タイトーステーション大須店@愛知県@東海] Score: 1136972326 
867. SoLA  [GROOVER]    [ＧＲＥＡ@愛知県@東海] Score: 1129498550 
872. Taku_N.  [God hive of Ra]    [ユーファクトリー安城店@愛知県@東海] Score: 1127655579 
878. SYUSYOU  [Oh! Jesus!]    [セガ金山@愛知県@東海] Score: 1121766344 
880. Astral  [Z神]    [コムテックスクウェア@愛知県@東海] Score: 1120077038 
890. SYAGE  [どんつくどんつくどんつくどんつく]    [セガ金山@愛知県@東海] Score: 1115482682 
894. ZU  [クラーケン]    [ラウンドワン名古屋西春店@愛知県@東海] Score: 1112516443 
896. KEISUKE  [グルーヴ皆伝]    [ラウンドワン半田店@愛知県@東海] Score: 1111247972 
898. mkt  [BIG STAR]    [ゲームプラザ　ミッキー@愛知県@東海] Score: 1110832136 
929. C*Crow:S  [「誰も知らない おとぎばなし」]    [セガ岡崎@愛知県@東海] Score: 1094124701 
935. Gemma  [全国行脚中]    [ポート２４幸田店@愛知県@東海] Score: 1089423494 
936. DJGEN115  [つらい]    [ユーファクトリー安城店@愛知県@東海] Score: 1088534462 
961. Al  [Singularity God]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1072196608 
971. Karen  [railgun god]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1067123572 
