1. marirui  [天然ボケ]    [ＷＡＶＥ豊川白鳥店@愛知県@東海] Score: 1658000000 
783. NYUDORA  [無理]    [タイトーステーション弥富店@愛知県@東海] Score: 1178691895 
797. rikuoh-M  [甘い甘い神様]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1171776031 
818. CAFERIA  [しんどい]    [ゲームランド（岡崎）@愛知県@東海] Score: 1163667043 
826. KEY.MA  [甘い甘い先生]    [ラウンドワン中川一号線店@愛知県@東海] Score: 1162005461 
864. M196  [五次元神]    [タイトーステーション大須店@愛知県@東海] Score: 1136972326 
865. SYUSYOU  [Oh! Jesus!]    [セガ金山@愛知県@東海] Score: 1136271149 
867. Astral  [Z神]    [コムテックタワー@愛知県@東海] Score: 1135916480 
876. Taku_N.  [God hive of Ra]    [ユーファクトリー安城店@愛知県@東海] Score: 1131599475 
883. SoLA  [GROOVER]    [ＧＲＥＡ@愛知県@東海] Score: 1129498550 
889. KEISUKE  [グルーヴ皆伝]    [ラウンドワン半田店@愛知県@東海] Score: 1122857014 
893. SYAGE  [どんつくどんつくどんつくどんつく]    [ゲームランド（岡崎）@愛知県@東海] Score: 1120669042 
909. ZU  [クラーケン]    [ラウンドワン名古屋西春店@愛知県@東海] Score: 1112516443 
917. mkt  [BIG STAR]    [ゲームプラザ　ミッキー@愛知県@東海] Score: 1110832136 
932. C*Crow:S  [息吹神]    [セガ岡崎@愛知県@東海] Score: 1100019356 
939. Al  [おやすミクさん！]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1096445389 
949. DJGEN115  [つらい]    [セガ安城@愛知県@東海] Score: 1091857652 
954. Gemma  [LINK CARNIVAL]    [半田メトロポリス@愛知県@東海] Score: 1090387631 
986. Karen  [railgun god]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1067123572 
994. Lexia.  [ワーウルフ]    [コムテックタワー@愛知県@東海] Score: 1064870790 
