4. KEI  [エストポリス神]    [セガ幕張@千葉県@関東] Score: 1657987895 
271. raiN  [覚醒先生]    [セガ幕張@千葉県@関東] Score: 1546351710 
272. ZE4MI  [旧渋谷神]    [タイトーステーション柏店@千葉県@関東] Score: 1546329781 
298. Takane01  [イノベーター]    [タイトーステーション柏店@千葉県@関東] Score: 1529475104 
317. LONGNEGI  [有　罪]    [ソニックビーム松戸店@千葉県@関東] Score: 1518735510 
354. MATH  [真・一じょ段]    [ウェアハウス南流山店@千葉県@関東] Score: 1487288234 
369. Wing  [GROOVER]    [ソニックビーム松戸店@千葉県@関東] Score: 1474919100 
377. ktg0713  [第三ノ封印ヲ解放セシ者]    [タイトーステーション船橋店@千葉県@関東] Score: 1466094711 
419. PF#(9th  [ふたつのARIA]    [イスカンダル@千葉県@関東] Score: 1434040128 
440. GrizAil*  [え？あぁ、神。]    [セガ幕張@千葉県@関東] Score: 1415684730 
444. Bareyan  [ピッチピチ16歳]    [ラウンドワン習志野店@千葉県@関東] Score: 1412779097 
454. Noir...  [弱虫神]    [セガワールド成田@千葉県@関東] Score: 1406317889 
485. HERI  [変なTシャツ女神]    [セガ幕張@千葉県@関東] Score: 1383339886 
492. WARLOCK  [羊神]    [ゲームプラザセントラル浦安店@千葉県@関東] Score: 1367606484 
505. HIYOKU  [初代ELITE]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1359441206 
511. Kagerou  [神々が恋した神]    [セガワールド成田@千葉県@関東] Score: 1354373130 
512. 321SUNNY  [練習中]    [ラッキー八千代店@千葉県@関東] Score: 1352733909 
513. adaptor  [INFINITY]    [セガ幕張@千葉県@関東] Score: 1351859447 
537. BLAZE283  [I love "LIMIT BURST"]    [セガ幕張@千葉県@関東] Score: 1327220240 
538. SABAMISO  [ヘリで来た。]    [セガワールド成田@千葉県@関東] Score: 1326234210 
579. Taka+80  [ブドウ]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1299631824 
580. METAL+  [I love リンカ]    [ラッキー西千葉店@千葉県@関東] Score: 1299079421 
593. A.N.C.B.  [GROOVER]    [ラッキー八千代店@千葉県@関東] Score: 1290908633 
616. NODAM@S  [第二回天下一音ゲ祭 ファイナリスト]    [セガ幕張@千葉県@関東] Score: 1276380951 
624. teiramic  [Kick It Out Master]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1269616869 
626. TAKAHIRO  [URBAN MASTER]    [ワンダーヴュー成田店@千葉県@関東] Score: 1269112458 
657. Sugi  [駆け出し]    [タイトーステーション柏店@千葉県@関東] Score: 1248994952 
664. Shiba  [メカクシ団]    [セガ幕張@千葉県@関東] Score: 1243208578 
675. 5/7  [ﾆｼﾞｵﾀｺﾐｭｼｮｰﾋｷﾆｰﾄ]    [セガ幕張@千葉県@関東] Score: 1236472590 
681. ToKi  [でんぱ神]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1234590523 
716. -------0  [初代☆]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1213139122 
722. Rotter.  [God hive of Ra]    [セガ幕張@千葉県@関東] Score: 1210343792 
739. uroco@99  [第三回天下一音ゲ祭 ファイナリスト]    [セガ幕張@千葉県@関東] Score: 1199673864 
761. EDAMAME  [I love Xenoa]    [セガワールド旭@千葉県@関東] Score: 1188868217 
769. GOMAmugi  [村人A]    [セガ幕張@千葉県@関東] Score: 1186166608 
773. HATHUNE  [名も無い幼い王]    [セガ幕張@千葉県@関東] Score: 1182853024 
778. NYUDORA  [無理]    [セガ幕張@千葉県@関東] Score: 1178674696 
779. IM  [ドウニデモ＝ナ＝レ(76)]    [ゲームプラザセントラル浦安店@千葉県@関東] Score: 1178390048 
784. tnpopo!!  [アイスクリーム神]    [プラサカプコンちはら台店@千葉県@関東] Score: 1176509280 
789. camnaven  [ヤンキー先生]    [セガ幕張@千葉県@関東] Score: 1172809456 
796. *paripi*  [星の歌姫]    [ゲームプラザセントラル浦安店@千葉県@関東] Score: 1169571201 
820. NEGIGAMO  [Shadow God]    [セガ幕張@千葉県@関東] Score: 1161275886 
821. YAIBA  [不可能へ挑戦する者]    [セガららぽーとＴＯＫＹＯＢＡＹ@千葉県@関東] Score: 1161254755 
838. Retoree  [あたいったら最強ね！]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1154970271 
855. Naru  [I love "東方外魔伝"]    [セガ幕張@千葉県@関東] Score: 1140019901 
870. FUKUOKA3  [千葉勢]    [セガ我孫子@千葉県@関東] Score: 1133233667 
882. _ABYSS  [小槌「大きくなあれ」]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1128658218 
901. SUTORES*  [下剋上]    [セガ幕張@千葉県@関東] Score: 1116151282 
909. NAYU  [TANO*C GOD]    [タイトーステーション船橋店@千葉県@関東] Score: 1112187316 
928. C*Crow:S  [息吹神]    [セガ幕張@千葉県@関東] Score: 1099997631 
949. Mo  [噂の美少女探偵]    [ラウンドワンアリオ柏店@千葉県@関東] Score: 1089842504 
987. #bu  [初PERFECT]    [ｎａｍｃｏイオンＭ幕張新都心店@千葉県@関東] Score: 1066983457 
