2. marirui  [カーナビ大王]    [ＷＡＶＥ豊川白鳥店@愛知県@東海] Score: 1773000000 
339. tnmgt+@?  [パンプキン神]    [ゲームランド（岡崎）@愛知県@東海] Score: 1559525346 
391. SPIRYTUS  [GROOVER]    [アーバンスクエア大須@愛知県@東海] Score: 1512913948 
403. tsuccho  [リズム感の神]    [セガ金山@愛知県@東海] Score: 1503975428 
408. Alice  [死ぬがよい。]    [ラウンドワン中川一号線店@愛知県@東海] Score: 1500477506 
411. Slug  [うー！がぉー！]    [ステーション２０１@愛知県@東海] Score: 1495189971 
429. St.Rhea  [I LOVE ZUNTATA]    [ゲームランド（岡崎）@愛知県@東海] Score: 1484132253 
474. NANARI  [I love "怪談「カーナビ」"]    [コムテックタワー@愛知県@東海] Score: 1439963325 
489. euro  [2.5次元伝説！]    [オークランドボウル春日井@愛知県@東海] Score: 1428954734 
498. Jacky  [お断リンカちゃん]    [楽市楽座イオンモール扶桑店@愛知県@東海] Score: 1418759033 
511. Kotori.  [次の曲が始まるのです女神]    [ユーズランド東浦店@愛知県@東海] Score: 1404796848 
530. PRESTIGE  [VENUS]    [ゲームファンタジアン蒲郡店@愛知県@東海] Score: 1388254285 
563. Sasanqua  [初代SSS CLASS]    [タイトーステーション大須店@愛知県@東海] Score: 1356284680 
571. yositune  [全都道府県完全制覇]    [Ｍ’Ｓ　ＰＡＲＫ豊田店@愛知県@東海] Score: 1349692637 
604. 0_0  [無理]    [ポート２４八事店@愛知県@東海] Score: 1331807294 
614. Caferia  [ワーウルフ]    [ゲームランド（岡崎）@愛知県@東海] Score: 1325660804 
615. R.EIMU  [永遠の巫女]    [タイトーステーション弥富店@愛知県@東海] Score: 1325657346 
626. YSSN  [I am King]    [ポート２４八事店@愛知県@東海] Score: 1315885303 
651. BOY  [I love STG]    [アーバンスクエア大須@愛知県@東海] Score: 1303353490 
659. FUKAKEN  [ルーキー]    [セガ金山@愛知県@東海] Score: 1300263935 
687. YKL  [キャッチ・ザ・ハート]    [アミューズファクトリー@愛知県@東海] Score: 1277867128 
705. F1owery  [お断リンカちゃん]    [タイトーステーション大須店@愛知県@東海] Score: 1263606589 
765. SYUSYOU  [Oh! Jesus!]    [名古屋レジャーランドささしま店@愛知県@東海] Score: 1222884611 
774. rikuoh*M  [甘い甘い神様]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1216362526 
782. ITODA  [そんなんARIKA]    [楽市楽座イオンモール扶桑店@愛知県@東海] Score: 1210026357 
789. ASTRAL  [Z神]    [コムテックタワー@愛知県@東海] Score: 1204897473 
823. ENE*  [全都道府県完全制覇]    [名古屋レジャーランドささしま店@愛知県@東海] Score: 1185612009 
846. Taku_N?  [GROOVER]    [ゲームランド（岡崎）@愛知県@東海] Score: 1174333689 
854. ethyl  [ポリリズムマスター]    [タイトーステーション大須店@愛知県@東海] Score: 1171125195 
870. 9kokoiro  [どんつくどんつくどんつくどんつく]    [セガ金山@愛知県@東海] Score: 1164351937 
889. CHILL*4  [第四回天下一音ゲ祭 ファイナリスト]    [タイトーステーション弥富店@愛知県@東海] Score: 1153455157 
890. KEY.MA  [甘い甘い先生]    [ラウンドワン中川一号線店@愛知県@東海] Score: 1153404241 
905. SoLA  [GROOVER]    [ＧＲＥＡ@愛知県@東海] Score: 1145419835 
921. KEISUKE  [グルーヴ二十段]    [ラウンドワン半田店@愛知県@東海] Score: 1138007957 
922. M196  [五次元神]    [セガ金山@愛知県@東海] Score: 1138006442 
926. Al  [現実逃避神]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1136739812 
954. mkt  [Fly Master]    [セガワールド尾西@愛知県@東海] Score: 1120905917 
955. *SHEEP*  [十二宗家]    [アーバンスクエア大須@愛知県@東海] Score: 1120724752 
985. NAO  [駆け出し]    [アミューズファクトリー@愛知県@東海] Score: 1104773215 
991. Alcock.A  [つらい]    [ゲームファンタジアン蒲郡店@愛知県@東海] Score: 1101544223 
997. ZU  [クラーケン]    [ラウンドワン名古屋西春店@愛知県@東海] Score: 1100482478 
998. G_Krsm  [JUPITER]    [半田メトロポリス@愛知県@東海] Score: 1100367611 
