1. newxh  [メリークリスマス！]    [タイトーステーション所沢店@埼玉県@関東] Score: 1773000000 
31. *_MIKU_*  [XYZ God]    [LOVEJIS LION TAOYUAN@Taiwan@海外] Score: 1766758315 
32. PADANTE  [歌うショップキーパー]    [タイトーステーション所沢店@埼玉県@関東] Score: 1766390587 
33. Fractale  [三重の食いしん坊]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1765642105 
34. akariki  [わぁい神様大好き]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1764206070 
35. arChuM@n  [真・十溝段]    [タイトーステーション金沢店@石川県@北陸] Score: 1764188306 
36. LEPHIA  [LINK PERFECT]    [Ｇ－ＳＴＡＧＥ七隈店@福岡県@九州] Score: 1763092988 
37. mika  [厄神様]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1762682220 
38. PoCkRo.E  [うー！がぉー！]    [タイトーステーション立川北口店@東京都@関東] Score: 1762592193 
39. antisan  [鼓動神]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1761952154 
40. 9JO-NEGI  [有　罪]    [タイトーイン綾瀬@東京都@関東] Score: 1761911087 
41. nyannyan  [DullaGoddess]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1761728639 
42. HIKARU  [Starlight Road God]    [キングジョイ@愛知県@東海] Score: 1761276328 
43. 44327  [S＋級いちご大福]    [シネパーク広店@広島県@中国] Score: 1761193095 
44. KenWongL  [cyanine god]    [GOLD STAR(TSUEN WAN)@Hong Kong@海外] Score: 1760678575 
45. FRED  [漆黒の堕天使]    [アピナ塩尻店@長野県@信越] Score: 1759245178 
46. YASUNA  [DADDY GOD]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1759212346 
47. Noeln*  [Bad Apple!! God]    [ＡＭパークジアス上大岡@神奈川県@関東] Score: 1759205330 
48. LEMON-E  [ネオサイタマの死神]    [ラッキー八千代店@千葉県@関東] Score: 1759192676 
49. TuxedoSR  [駆け出し]    [メジャーロード白根店@新潟県@信越] Score: 1759185314 
50. KuriZZZZ  [謎の少女]    [アピナ塩尻店@長野県@信越] Score: 1758978730 
51. M2*NI53  [I AM EDM]    [タイトーステーション大須店@愛知県@東海] Score: 1758579993 
52. 2CYR  [永遠に紅い幼き月]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1758074813 
53. KANI  [Flakes God]    [セガ水戸南@茨城県@関東] Score: 1757421420 
54. Yakumo  [みくみく女神♪]    [ラウンドワン大分店@大分県@九州] Score: 1757354980 
55. BRO178  [完全なる墨染の神]    [ユーズランド　となみ店@富山県@北陸] Score: 1757321888 
56. SEA+:>  [Ｓ＋級コーヒー]    [SMART GAME(WAN CHAI)@Hong Kong@海外] Score: 1756776517 
57. Ryuki  [Crimson Phoenix God]    [セガ赤羽@東京都@関東] Score: 1756396984 
58. FIEL  [LINK GOD]    [スペースファンタジーインフィニ@青森県@東北] Score: 1755813388 
59. HAOKA  [北海道勢]    [青森メトロポリス@青森県@東北] Score: 1755707548 
60. YUKIM@RU  [雷神]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1754861584 
61. Yuly7188  [天下無双]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1754562361 
62. KER?  [アドリブ係長]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1754504841 
63. HITACHI  [核融合神]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1753347771 
64. SENSOR  [TANO*C GOD]    [タイトーステーション所沢店@埼玉県@関東] Score: 1752806631 
65. INDEX  [究極進化！]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1752727628 
66. FoxIA  [太陽神]    [ナムコランド広島店@広島県@中国] Score: 1752616838 
67. TAK1  [黄龍]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1752429681 
68. BEGINNER  [GROOVER]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1752170666 
69. Hirojixi  [夢現神]    [コムテックタワー@愛知県@東海] Score: 1751904469 
70. Squid  [からくり神]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1750882361 
71. KYONKO  [妹様]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1748514731 
72. GUEST  [GROOVER]    [プレビ劇場ＩＳＥＳＡＫＩ@群馬県@関東] Score: 1748471208 
73. Verdure  [ナムコットメドレー・キング]    [ARCADE1@Korea@海外] Score: 1747899642 
74. kuhaku  [完全に極めたなっしんぐ]    [ファンタジードーム八戸@青森県@東北] Score: 1747719306 
75. K.x*4  [Marry me, God]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1747705896 
76. kz  [Specta God]    [セガ霞ヶ浦@茨城県@関東] Score: 1747347321 
77. tope-kon  [歌って踊れるゲーマーアイドル]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1746046496 
78. MELLROCK  [Ｓ＋級うどん]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1745523571 
79. GIL  [日本一周]    [ラウンドワン三宮駅前店@兵庫県@近畿] Score: 1745326494 
80. KUPU  [プリンシパリティ]    [タイトーステーション弥富店@愛知県@東海] Score: 1744521577 
81. Uetsu  [パワー]    [メジャーゲーム館@新潟県@信越] Score: 1743423787 
82. Adam030  [第四ノ封印ヲ解放セシ者]    [LOVEJIS LION TAOYUAN@Taiwan@海外] Score: 1742561946 
83. IIBOU  [DENEB]    [アピナ上越インター店@新潟県@信越] Score: 1741972577 
84. SofLan  [I LOVE ZUNTATA]    [プレイロットジョイ@東京都@関東] Score: 1741020380 
85. RETurn  [二代目超シューティング神]    [Ｈｅｙ@東京都@関東] Score: 1740842316 
86. A9  [わわわわーにん！]    [Ｈｅｙ@東京都@関東] Score: 1740796662 
87. Syou0139  [永遠の巫女]    [モリシア　アミューズパーク@千葉県@関東] Score: 1740588678 
88. LEOPARD6  [わぁーい！]    [タイトー小田原シティーモール店@神奈川県@関東] Score: 1740539886 
89. Komimi  [真・十じょ段]    [ラウンドワン池袋店@東京都@関東] Score: 1739498824 
90. NOLF68  [「叫べ 叫べ 遠くへ」]    [プラサカプコン横須賀店@神奈川県@関東] Score: 1739023419 
91. Kreide  [無理]    [ラウンドワン長野店@長野県@信越] Score: 1738322850 
92. pillow.  [もっと愛してー！]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1737978366 
93. NORIp*  [UFD GOD]    [スーパーノバ天童@山形県@東北] Score: 1737062136 
94. ICENON*  [God hive of Ra]    [ゲームコーナーＢＡＭＢＯＯ@熊本県@九州] Score: 1735567387 
95. JALECO  [アイスクリーム神]    [バイパスレジャーランド加賀店@石川県@北陸] Score: 1735454960 
96. Vedr  [練習中]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1735246219 
97. PAN  [みっくみくにしてやんよ～！]    [福井レジャーランド板垣店@福井県@北陸] Score: 1735172331 
98. HiBi  [紫電一閃]    [ゲームランド（岡崎）@愛知県@東海] Score: 1734645942 
99. ZONE  [シンガポール勢]    [ｎａｍｃｏ梅田店@大阪府@近畿] Score: 1734021424 
100. FUJIN  [Stronger God]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1732877287 
********************************************************************************************
101. TOARU  [I love "Circuit DISCO"]    [タイトーステーション新宿東口店@東京都@関東] Score: 1732695217 
102. cohalz  [全都道府県完全制覇]    [モナコ川越店@埼玉県@関東] Score: 1732600443 
103. Shougo99  [神・初段]    [ラウンドワン浜松店@静岡県@東海] Score: 1732330264 
104. TyonTa  [だってだってだって女神]    [タイトーステーション秋葉原店@東京都@関東] Score: 1731764162 
105. MIKO  [炉心融解神]    [ゲームズ　ＩＭＯＮ@東京都@関東] Score: 1731546872 
106. Inver  [グルーヴ六段]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1731265001 
107. Mayuge.S  [Horizons God]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1730918143 
108. R@/xx  [火水木金土日月神]    [メジャーゲーム館@新潟県@信越] Score: 1730898722 
109. LOLME  [千葉勢]    [ｎａｍｃｏ東京ガリバー松戸店@千葉県@関東] Score: 1729880930 
110. NOGUnSO  [S級真田昌幸]    [安城メトロポリス@愛知県@東海] Score: 1728455666 
111. Shizuku*  [デュラハン]    [ファミリーゲームフィールド防府@山口県@中国] Score: 1726303214 
112. LA-LA  [バーカバーカ！]    [NEW CITY(JHONGLI)@Taiwan@海外] Score: 1726159492 
113. Makaru.G  [GOD]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1725256668 
114. C-man  [上上下下ABAB]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1725156599 
115. ++aiko++  [Caramel Mocha God]    [タイトーイオンモール釧路昭和店@北海道@北海道] Score: 1725072053 
116. YaMA-!  [魔法少女神]    [ＣＬＵＢＳＥＧＡ藤井寺@大阪府@近畿] Score: 1724156085 
117. TAItyo!!  [隊長さん]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1723991477 
118. hino  [Starlight Road God]    [アテナ日本橋@大阪府@近畿] Score: 1723491936 
119. ENBI-N  [現実逃避神]    [スペースファンタジーインフィニ@青森県@東北] Score: 1723111555 
120. RAM4  [はじめてのぐるこす]    [ムトス相模原店@神奈川県@関東] Score: 1722081626 
121. PURAMU  [Crazy ∞ Queen]    [プレビ劇場ＩＳＥＳＡＫＩ@群馬県@関東] Score: 1721811614 
122. BASS  [ヴァーチャー]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1721773014 
123. Joker.  [バーチャル・シンガー]    [タイトー海老名ビナウォーク店@神奈川県@関東] Score: 1721270852 
124. OKA-MH  [とり天]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1720840629 
125. CROW  [I love "LIMIT BURST"]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1720121640 
126. E7+W7=KH  [リンドブルム]    [タイトーフジグラン北島店@徳島県@四国] Score: 1719228994 
127. CATEnary  [名も無い幼い少年]    [コムテックタワー@愛知県@東海] Score: 1715256539 
128. remina  [Specta King]    [タイトーＢＩＧＢＯＸ高田馬場店@東京都@関東] Score: 1715232629 
129. A.S.HERO  [超シューティング神]    [STARMU GAME CENTER@Korea@海外] Score: 1713344885 
130. PETER1  [青龍]    [AMERICAN POOL@Hong Kong@海外] Score: 1713148647 
131. >TAPE<  [踊ってみたら七変化！]    [セガ秋葉原@東京都@関東] Score: 1713071948 
132. LIMIO  [未確認幻想飛行少女]    [タイトー盛岡マッハランド店@岩手県@東北] Score: 1712631723 
133. HONOME  [血界神]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1712533652 
134. Mojo  [天下無双]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1711518520 
135. Fennec.  [うー！がぉー！]    [セガワールド北山形@山形県@東北] Score: 1711347478 
136. KAKANO3  [香川勢]    [タイトーステーション立川北口店@東京都@関東] Score: 1711305941 
137. CITRUS  [ノリノリンカちゃん]    [ラウンドワン千日前店@大阪府@近畿] Score: 1711159695 
138. KZ&manju  [全都道府県完全制覇]    [アミューズメントＣＵＥ奈良三条@奈良県@近畿] Score: 1710033359 
139. EXT  [仮初の満足]    [Ｈｅｙ@東京都@関東] Score: 1709613177 
140. MEBIUS  [練習中]    [青森メトロポリス@青森県@東北] Score: 1709511208 
141. Lasty  [I love "ようこそジャパリパークへ"]    [タイトーステーション大須店@愛知県@東海] Score: 1708937803 
142. N@Bastet  [Ｓ級バステト]    [ラウンドワン徳島・万代店@徳島県@四国] Score: 1707905154 
143. MAKURO  [ナムコットメドレー・ゴッド]    [タイトーステーション新宿東口店@東京都@関東] Score: 1707707429 
144. YasGni  [Kick It Out God]    [スターダスト@岡山県@中国] Score: 1707401561 
145. y4_Ntr  [ouroboros god]    [ｎａｍｃｏ梅田店@大阪府@近畿] Score: 1707336199 
146. NANAMI!?  [バジリスク]    [タイトーステーション大須店@愛知県@東海] Score: 1706868948 
147. ni-yan  [小槌「お前が大きくなあれ」]    [ラウンドワン八千代村上店@千葉県@関東] Score: 1706846953 
148. xx_030  [会いたい神]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1706780399 
149. mikan?  [あのね…実はわたし、女神なんだ…?]    [タイトーステーション青森アムゼ@青森県@東北] Score: 1706750355 
150. KL+.G  [α]    [TOM'S(TAINAN FOCUS)@Taiwan@海外] Score: 1706198045 
151. Darful  [二代目超シューティング神]    [インターワールド伊勢崎店@群馬県@関東] Score: 1705367545 
152. Kissshot  [絶対思想啓蒙局神]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1705367046 
153. Nera  [弱虫神]    [ゲームプラザセントラル八王子店@東京都@関東] Score: 1704836494 
154. daisuki  [世界の歌姫]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1704491533 
155. KUU  [カワウソに似ててもいいよね？]    [タイトーイン綾瀬@東京都@関東] Score: 1704162119 
156. NANOHA77  [I love "ETERNAL BLAZE"]    [セガワールド龍ヶ崎@茨城県@関東] Score: 1703653989 
157. hiya*ks  [でんぱ神]    [セガワールド草津@滋賀県@近畿] Score: 1703067332 
158. FFF  [GROOVER]    [キャロム青梅店@東京都@関東] Score: 1702821667 
159. X-Clark-  [Blue King Blue]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1702229460 
160. SNK  [全都道府県完全制覇]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1701775151 
161. KENO  [安全運転　お願いね]    [ディノスパーク南福島店@福島県@東北] Score: 1701773452 
162. EN453  [高知勢]    [トヤマ　レジャーランド　呉羽店@富山県@北陸] Score: 1701633362 
163. Mikurino  [変なTシャツ女王]    [ROUND1(MAIN PLACE)@America@海外] Score: 1700342307 
164. KS_44HT  [K.I.N.G]    [シルクハット川崎ダイス@神奈川県@関東] Score: 1700139859 
165. HeiC*  [God of Moon]    [GOLDEN ERA GAME CENTRE@Hong Kong@海外] Score: 1699601298 
166. LEE  [I Love 格ゲー]    [キャッツアイ新札幌店@北海道@北海道] Score: 1699565482 
167. Mizore  [ヴァンパイア神]    [プレイランドキング円町店@京都府@近畿] Score: 1699429226 
168. Raiu  [泡はきドラゴン]    [タイトーステーション新宿東口店@東京都@関東] Score: 1699272890 
169. Magnolia  [PRINCESS]    [タイトーステーション藤沢店@神奈川県@関東] Score: 1698567487 
170. KOTONARI  [STAR]    [ゲームランド松山@長崎県@九州] Score: 1698529469 
171. 44.44  [STAR COASTER GOD]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1698121224 
172. YUKKE_GS  [GROOVER]    [スターダスト@岡山県@中国] Score: 1697963228 
173. Hinata  [金色の異端児]    [アミューズメントベネクス越谷店@埼玉県@関東] Score: 1697393325 
174. PezzA>.<  [火水木金土日月大王]    [AMERICAN POOL@Hong Kong@海外] Score: 1697323231 
175. EJ@765  [S級真田昌幸]    [ラウンドワン府中本町駅前店@東京都@関東] Score: 1697016472 
176. ALINE  [うー！がぉー！]    [タイトーステーション浜松店@静岡県@東海] Score: 1696959080 
177. HASSY  [Ｓ級ワルキューレ]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1696844269 
178. YUUTO***  [ろくでなし先生]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1696532312 
179. kgat.Mf  [第三回天下一音ゲ祭 チャンピオン]    [ｎａｍｃｏ梅田店@大阪府@近畿] Score: 1696161009 
180. NARSAN  [GAME MUSIC TRIANGLER]    [タイトーイン綾瀬@東京都@関東] Score: 1695795950 
181. SNOW  [ずんどこずんどこずんどこずんどこ]    [セガ伊勢@三重県@東海] Score: 1695625015 
182. Hunter  [DullaGoddess]    [タイトー海老名ビナウォーク店@神奈川県@関東] Score: 1694860885 
183. zody  [悪ノ女神]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1694784289 
184. Naka.F  [ドリームパーティーゴッド]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1694584361 
185. KeiPaN  [Crimson Phoenix God]    [ＭＥＣＨＡ新金岡店@大阪府@近畿] Score: 1693605797 
186. issy  [God a pain cover?]    [タイトーステーション所沢店@埼玉県@関東] Score: 1693076647 
187. P-KANA*  [尊い・・・]    [ラウンドワン草加店@埼玉県@関東] Score: 1692957432 
188. masaki  [チキン南蛮]    [タイトー　オリナス錦糸町店@東京都@関東] Score: 1692257033 
189. Shin  [OVER THE GOD]    [ジャムジャム神栖店@茨城県@関東] Score: 1691660450 
190. zanji86  [Detonator God]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1689206100 
191. Goat  [仮初の満足]    [セガワールド高城@大分県@九州] Score: 1687835226 
192. JUN*  [伝説のアマノジャク]    [ドリームファクトリーいわき店@福島県@東北] Score: 1687694781 
193. AKKI1027  [ノリノリンカちゃん]    [ラウンドワン堺駅前店@大阪府@近畿] Score: 1686873473 
194. NFRyo  [永遠の中二病]    [セガ代々木@東京都@関東] Score: 1686203261 
195. BLAZE  [Blaze King]    [セガ赤羽@東京都@関東] Score: 1686130440 
196. Seraphis  [QLWAGOD]    [タイトーステーション浅草店@東京都@関東] Score: 1686119540 
197. Kiririya  [I love "ノルニル"]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1685007029 
198. TOCHISMA  [天体観測神]    [タイトー宇都宮ベルモール店@栃木県@関東] Score: 1683547796 
199. DA_FU  [TGM大王]    [ＡＧスクエア岡谷@長野県@信越] Score: 1683261494 
200. LOCK  [JUMPEE! MASTER!]    [セガ池袋ギーゴ@東京都@関東] Score: 1683210782 
********************************************************************************************
201. mokotaso  [LINK PERFECT]    [セガ幕張@千葉県@関東] Score: 1681726533 
202. Pykw.PP  [GC2最終スコアタ皇帝]    [タイトーＦステーション南大沢店@東京都@関東] Score: 1680989486 
203. YAMIGAMI  [鵺]    [TOM'S WORLD(MING YAO)@Taiwan@海外] Score: 1678494510 
204. KENTA-09  [Ｓ＋級ラーメン]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1678164490 
205. FSTK  [Chaos God]    [ウェアハウス川崎九龍城@神奈川県@関東] Score: 1676482863 
206. GARYU!!!  [S級真田信之]    [ラウンドワン八王子店@東京都@関東] Score: 1674954594 
207. Ao8maMio  [Ｎ・Ｅ・Ｍ・Ｕ・Ｇ・Ｏ・Ｄ]    [タイトーイン綾瀬@東京都@関東] Score: 1674023540 
208. Hydrex  [Ｓ＋級チャーハン]    [ROUND1(PUENTE HILLS)@America@海外] Score: 1673942900 
209. SEIJAAA  [下克上神]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1673602856 
210. Xu.  [Detonator God]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1673099903 
211. T=YURIKA  [ヴァンパイア姫]    [アテナ日本橋@大阪府@近畿] Score: 1672581461 
212. chinta  [I love "SPARKLING FUTURE"]    [Ｇ－ＳＴＡＧＥ七隈店@福岡県@九州] Score: 1672372619 
213. K-FISHER  [GROOVER]    [ラウンドワン池袋店@東京都@関東] Score: 1671686330 
214. Lyrical*  [水中だと力が増す人魚]    [タイトーララスクエア宇都宮店@栃木県@関東] Score: 1671272305 
215. ukyu  [ふわっふわ15歳]    [セガ新三国アルゴ７@大阪府@近畿] Score: 1670694735 
216. Takashi#  [マジェスティ神]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1670030418 
217. NIS@  [LRLRABAB神]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1669953635 
218. H.SYSTEM  [腹一杯]    [遊パラダイス@山形県@東北] Score: 1669454004 
219. e99tart  [GROOVER]    [ハイテクランドセガ池上@東京都@関東] Score: 1668719696 
220. HORIZON  [Ｓ＋級紅茶]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1666959319 
221. TAK  [キャッチ・ザ・ハート]    [タイトーステーション梅三小路店@大阪府@近畿] Score: 1666594008 
222. JACK.O  [普通の魔法使い]    [ＡＧスクエア石岡店@茨城県@関東] Score: 1666370590 
223. IZAWA=  [I love Xenoa]    [ユーズランド下田店@青森県@東北] Score: 1666218001 
224. 387  [「プリスティンビート」]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1665368159 
225. 8MA  [I love "空想フォレスト"]    [ラッキー八千代店@千葉県@関東] Score: 1664759994 
226. OGAPY.GC  [I love "瞳のLAZhWARD"]    [ＤＡＩＫＥＩＥＮ@千葉県@関東] Score: 1664584250 
227. *Ta2maN*  [わぁーい！]    [セガワールド六地蔵@京都府@近畿] Score: 1664091745 
228. Chuckey  [LINK PERFECT]    [ナムコランド広島店@広島県@中国] Score: 1663804225 
229. KUJIGEN  [TECHNO COMPLEX MASTER]    [モナコ川越店@埼玉県@関東] Score: 1663476963 
230. ZKS  [I love 新生『でんぱ組.inc』]    [セガ海田@広島県@中国] Score: 1662987455 
231. BYDO  [SHRINE CASTLE]    [タイトーステーション仙台名掛丁@宮城県@東北] Score: 1661682371 
232. DNOO  [初代DREAMER]    [タイトーＢＩＧＢＯＸ高田馬場店@東京都@関東] Score: 1660369780 
233. Sefy  [The NecroDancer]    [キャロム坂戸店@埼玉県@関東] Score: 1659661792 
234. ysn  [Freedom God]    [タイトーステーション池袋西口店@東京都@関東] Score: 1658182656 
235. NEO+A  [獏]    [セガ秋葉原３号館@東京都@関東] Score: 1657305432 
236. wolfaith  [Horizons King]    [ROUND1(MAIN PLACE)@America@海外] Score: 1654576404 
237. MONO67  [ニャスニャス！]    [セガワールドＭＥＧＡ@広島県@中国] Score: 1654217699 
238. SAIKI  [すぽぉぉぉぉぉん]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1653001850 
239. DAGO  [しんどい]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1651029059 
240. KaZuKi10  [弱虫神]    [セガ松江@島根県@中国] Score: 1650834413 
241. BANANA  [初代SSS CLASS]    [ラウンドワン南砂店@東京都@関東] Score: 1650430284 
242. ashur  [God a pain cover?]    [プレイランドキング円町店@京都府@近畿] Score: 1649393714 
243. THOMAS91  [わわわわーにん！]    [ARCADE1@Korea@海外] Score: 1649277167 
244. kum@risa  [全都道府県完全制覇]    [ラッキー八千代店@千葉県@関東] Score: 1644880035 
245. Silver  [閉じた恋の瞳]    [アピナ富山南店@富山県@北陸] Score: 1644582816 
246. BIS(9)  [すっごーい！]    [ラウンドワン札幌北２１条店@北海道@北海道] Score: 1643175242 
247. mrskon-G  [空想神]    [コムテックスクウェア@愛知県@東海] Score: 1642505326 
248. TKCN#  [うー！がぉー！]    [セガ池袋ギーゴ@東京都@関東] Score: 1641894092 
249. konata  [十人の話を同時に聞くことが出来る女神]    [ソユーゲームフィールド川口店@埼玉県@関東] Score: 1641699358 
250. S-Kang  [STARLIGHT GOD]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1641578658 
251. #KEN*  [NEPTUNE]    [豊川メトロポリス@愛知県@東海] Score: 1639721603 
252. SGK.orz  [SATURN]    [ＡＳＯ：ＶＩＢＡ！@東京都@関東] Score: 1638939357 
253. 27  [すっごーい！]    [タイトーステーション町田店@東京都@関東] Score: 1638109329 
254. AIR4545K  [トリノコシティ・マスター]    [セガ水沢@岩手県@東北] Score: 1637459701 
255. KEI  [Moonbound god]    [ゲームマグマックス川越@埼玉県@関東] Score: 1635103005 
256. CHAN_M  [無理]    [ＰＥＰ魚町@福岡県@九州] Score: 1634751197 
257. *BUSY-1  [完全に極めたなっしんぐ]    [AMERICAN POOL@Hong Kong@海外] Score: 1634515091 
258. Obsolete  [TANO*C MASTER]    [HA-LA SHENG-HUO GUANG CHANG@Taiwan@海外] Score: 1634335653 
259. DADDY  [I LOVE DARIUS]    [タイトーイン綾瀬@東京都@関東] Score: 1633747084 
260. SHIENA  [世界の傍観者]    [タイトー多摩センター店@東京都@関東] Score: 1633556361 
261. Rokuku  [フィフス・フォース]    [タイトーステーション町田店@東京都@関東] Score: 1633224651 
262. July_u26  [Nightmare]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1631444996 
263. KOTATU  [金色の異端児]    [アップル　グランリバー大井川店@静岡県@東海] Score: 1628150324 
264. takane01  [イノベーター]    [タイトーステーション柏店@千葉県@関東] Score: 1625123063 
265. SOACH  [そんなんARIKA]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1624996035 
266. RGA  [全都道府県完全制覇]    [タイトーイン綾瀬@東京都@関東] Score: 1624633023 
267. CHIK.WAV  [七福神]    [ディノスパーク苫小牧店@北海道@北海道] Score: 1622532144 
268. E-ZONE  [技名を叫んでから殴る大王]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1622262449 
269. G.urakaM  [真・初段]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1620631727 
270. NATUNON  [半人半霊の神]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1619695116 
