1. newxh  [メリークリスマス！]    [タイトーステーション所沢店@埼玉県@関東] Score: 1763000000 
38. 2CYR  [S＋級ガム]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1748093288 
39. mika  [月夜ノ神]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1747475749 
40. 44327  [ノルニル先生]    [ラウンドワン福山店@広島県@中国] Score: 1746885580 
41. SENSOR  [TANO*C GOD]    [タイトーステーション所沢店@埼玉県@関東] Score: 1746817123 
42. FoxIA  [Ψ発見伝！ゴッド]    [ナムコランド広島店@広島県@中国] Score: 1746745221 
43. KenWongL  [cyanine god]    [SUPER KING GAME CENTRE@Hong Kong@海外] Score: 1746713044 
44. YASUNA  [DADDY GOD]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1745167995 
45. Hirojixi  [夢現神]    [タイトーステーション大須店@愛知県@東海] Score: 1744902809 
46. YUKIM@RU  [雷神]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1744815263 
47. Yuly7188  [天下無双]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1744526917 
48. BRO178  [超COOL!]    [ユーズランド　となみ店@富山県@北陸] Score: 1743476661 
49. KANI  [Crimson Phoenix God]    [セガ水戸@茨城県@関東] Score: 1743417046 
50. arChuM@n  [真・十溝段]    [タイトーステーション金沢店@石川県@北陸] Score: 1743275368 
51. HITACHI  [JUMPEE! GOD!]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1743194109 
52. juni  [God more raves?]    [セガ鳥取@鳥取県@中国] Score: 1743003038 
53. Squid  [LINK PERFECT]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1742913621 
54. BEGINNER  [GROOVER]    [セガ池袋ギーゴ@東京都@関東] Score: 1742311977 
55. Noeln*  [Bad Apple!! God]    [ＡＭパークジアス上大岡@神奈川県@関東] Score: 1741769506 
56. KYONKO  [LINK PERFECT]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1740568109 
57. A9  [わわわわーにん！]    [Ｈｅｙ@東京都@関東] Score: 1738827354 
58. M2*NI53  [I AM EDM]    [タイトーステーション大須店@愛知県@東海] Score: 1737883197 
59. LEOPARD6  [わぁーい！]    [タイトー小田原シティーモール店@神奈川県@関東] Score: 1737621806 
60. kuhaku  [完全に極めたなっしんぐ]    [ファンタジードーム八戸@青森県@東北] Score: 1737189918 
61. Yakumo  [みくみく女神♪]    [プラサカプコン大分店@大分県@九州] Score: 1736614131 
62. Komimi  [真・十じょ段]    [ラウンドワン池袋店@東京都@関東] Score: 1736602448 
63. NORIp*  [UFD GOD]    [スーパーノバ天童@山形県@東北] Score: 1736088603 
64. GIL  [グルーヴ百段]    [タイトーステーション池袋西口店@東京都@関東] Score: 1735808104 
65. K.x*4  [Marry me, God]    [タイトーＦステーション燕三条店@新潟県@信越] Score: 1735721179 
66. FIEL  [LINK GOD]    [スペースファンタジーインフィニ@青森県@東北] Score: 1735656323 
67. Kreide  [無理]    [ラウンドワン長野店@長野県@信越] Score: 1735299405 
68. INDEX  [究極進化！]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1734960088 
69. 2K-DeW  [S＋級せんべい]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1734885428 
70. Syou0139  [永遠の巫女]    [モリシア　アミューズパーク@千葉県@関東] Score: 1732857692 
71. GUEST  [GROOVER]    [群馬レジャーランド伊勢崎店@群馬県@関東] Score: 1732833724 
72. Adam030  [第四ノ封印ヲ解放セシ者]    [LOVEJIS LION TAOYUAN@Taiwan@海外] Score: 1732201055 
73. KER?  [アドリブ係長]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1731554529 
74. PoCkRo.E  [うー！がぉー！]    [タイトーステーション立川北口店@東京都@関東] Score: 1731219393 
75. RETurn  [I love "怪談「カーナビ」"]    [ｎａｍｃｏロブレ小山店@栃木県@関東] Score: 1730440245 
76. TuxedoSR  [駆け出し]    [ラウンドワン新潟店@新潟県@信越] Score: 1730343299 
77. NOLF68  [「叫べ 叫べ 遠くへ」]    [プラサカプコン横須賀店@神奈川県@関東] Score: 1730244032 
78. FUJIN  [Stronger God]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1729881255 
79. KUPU  [鵺]    [タイトーステーション弥富店@愛知県@東海] Score: 1729818813 
80. SEA+:>  [真・百万段]    [SMART GAME(WAN CHAI)@Hong Kong@海外] Score: 1728999626 
81. LEAF  [Ｓ＋級たい焼き]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1728616443 
82. R@/xx  [火水木金土日月神]    [メジャーゲーム館@新潟県@信越] Score: 1727908903 
83. IIBOU  [DENEB]    [タイトーＦステーション上越店@新潟県@信越] Score: 1727191659 
84. Mayuge.S  [Horizons God]    [キャッツアイ新札幌店@北海道@北海道] Score: 1726984039 
85. Verdure  [Good Night, Bad King.]    [STARMU GAME CENTER@Korea@海外] Score: 1726983420 
86. ICENON*  [God hive of Ra]    [ｎａｍｃｏＷシティ南熊本店@熊本県@九州] Score: 1725628377 
87. HiBi  [絶対思想啓蒙局神]    [タイトーステーション弥富店@愛知県@東海] Score: 1725542026 
88. JALECO  [SEP, 2017 TOP RANKER]    [アルプラザボウル鯖江@福井県@北陸] Score: 1725526685 
89. PAN  [みっくみくにしてやんよ～！]    [福井レジャーランド板垣店@福井県@北陸] Score: 1725302663 
90. Vedr  [練習中]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1725302027 
91. TAK1  [Bad Apple!! God]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1724636238 
92. Inver  [店内SS CLASS]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1724101545 
93. kz  [MikuLukaGod]    [セガ霞ヶ浦@茨城県@関東] Score: 1720345105 
94. NOGUnSO  [Frey's Master]    [セガ安城@愛知県@東海] Score: 1719897250 
95. Uetsu  [パワー]    [キングジョイ@愛知県@東海] Score: 1719726417 
96. cohalz  [全都道府県完全制覇]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1719303170 
97. pillow.  [もっと愛してー！]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1718857099 
98. Shougo99  [神・初段]    [ラウンドワン浜松店@静岡県@東海] Score: 1718846256 
99. MIKO  [白龍]    [ゲームズ　ＩＭＯＮ@東京都@関東] Score: 1717707766 
100. LOLME  [千葉勢]    [ｎａｍｃｏ東京ガリバー松戸店@千葉県@関東] Score: 1715695497 
********************************************************************************************
101. LEMON-E  [ネオサイタマの死神]    [ラッキー八千代店@千葉県@関東] Score: 1715272475 
102. tope-kon  [歌って踊れるゲーマーアイドル]    [タイトー盛岡マッハランド店@岩手県@東北] Score: 1714261528 
103. HAOKA  [北海道勢]    [青森メトロポリス@青森県@東北] Score: 1713768977 
104. Shizuku*  [デュラハン]    [ファミリーゲームフィールド防府@山口県@中国] Score: 1713542467 
105. ZONE  [シンガポール勢]    [ラウンドワン北心斎橋店@大阪府@近畿] Score: 1713145041 
106. RAM4  [はじめてのぐるこす]    [ムトス相模原店@神奈川県@関東] Score: 1712549303 
107. C-man  [上上下下ABAB]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1711891921 
108. TAItyo!!  [隊長さん]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1711593763 
109. OKA-MH  [店内SSS CLASS]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1711249886 
110. BASS  [ヴァーチャー]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1711136247 
111. TyonTa  [AM貴族　すたどんたん女神]    [タイトーイン綾瀬@東京都@関東] Score: 1709848327 
112. CATEnary  [名も無い幼い少年]    [タイトーステーション大須店@愛知県@東海] Score: 1709279194 
113. KZ&manju  [全都道府県完全制覇]    [アミューズメントＣＵＥ奈良三条@奈良県@近畿] Score: 1707383859 
114. MEBIUS  [練習中]    [青森メトロポリス@青森県@東北] Score: 1706749095 
115. MELLROCK  [Ｓ＋級うどん]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1706741003 
116. PURAMU  [Crazy ∞ Queen]    [プレビ劇場ＩＳＥＳＡＫＩ@群馬県@関東] Score: 1706666984 
117. YasGni  [Kick It Out God]    [スターダスト@岡山県@中国] Score: 1706490628 
118. y4_Ntr  [Party 4G]    [アテナ日本橋@大阪府@近畿] Score: 1706354421 
119. YaMA-!  [魔法少女神]    [ＣＬＵＢＳＥＧＡ藤井寺@大阪府@近畿] Score: 1706199438 
120. CROW  [破壊神]    [タイトーイン綾瀬@東京都@関東] Score: 1706172226 
121. >TAPE<  [踊ってみたら七変化！]    [東京レジャーランド秋葉原店@東京都@関東] Score: 1706003818 
122. ENBI-N  [最高の舞台を目指せ！]    [ゲームフェスタミタマ@青森県@東北] Score: 1705674759 
123. NANAMI!?  [バジリスク]    [ＧＲＥＡ@愛知県@東海] Score: 1705602845 
124. ++aiko++  [しんどい]    [ビッグバン釧路@北海道@北海道] Score: 1705194036 
125. remina  [LINK PERFECT]    [セガ神楽坂@東京都@関東] Score: 1705115171 
126. LIMIO  [未確認幻想飛行少女]    [タイトー盛岡マッハランド店@岩手県@東北] Score: 1704735022 
127. NANOHA77  [I love "ETERNAL BLAZE"]    [セガワールド龍ヶ崎@茨城県@関東] Score: 1703653989 
128. PETER1  [青龍]    [AMERICAN POOL@Hong Kong@海外] Score: 1703366679 
129. Joker.  [火水木金土日月神]    [パームトップス@神奈川県@関東] Score: 1703315372 
130. hiya*ks  [でんぱ神]    [セガワールド草津@滋賀県@近畿] Score: 1703067332 
131. mikan?  [あのね…実はわたし、女神なんだ…?]    [ラウンドワン青森店@青森県@東北] Score: 1702804130 
132. E7+W7=KH  [リンドブルム]    [タイトーフジグラン北島店@徳島県@四国] Score: 1701957795 
133. KENO  [S+級ワンタン麺]    [ラウンドワン福島店@福島県@東北] Score: 1701772126 
134. daisuki  [世界の歌姫]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1701485523 
135. N@Bastet  [Ｓ級バステト]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1699992445 
136. EXT  [仮初の満足]    [Ｈｅｙ@東京都@関東] Score: 1699300854 
137. HeiC*  [God of Moon]    [SUPER KING GAME CENTRE@Hong Kong@海外] Score: 1698812040 
138. CITRUS  [ノリノリンカちゃん]    [セガワールド布施@大阪府@近畿] Score: 1698589985 
139. LEE  [I love "君色サブリミナル"]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1698567614 
140. KOTONARI  [STAR]    [ゲームランド松山@長崎県@九州] Score: 1698529469 
141. KAKANO3  [香川勢]    [タイトーステーション国分寺店@東京都@関東] Score: 1697764674 
142. Mojo  [LINK PERFECT]    [ナムコランド広島店@広島県@中国] Score: 1697519021 
143. Magnolia  [PRINCESS]    [ゲームインファンファン藤沢新館@神奈川県@関東] Score: 1697428768 
144. Kissshot  [絶対思想啓蒙局神]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1697390997 
145. hino  [Starlight Road God]    [タイトーステーション梅三小路店@大阪府@近畿] Score: 1697295791 
146. EJ@765  [S級真田昌幸]    [ラウンドワン府中本町駅前店@東京都@関東] Score: 1697016472 
147. xx_030  [会いたい神]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1696491769 
148. Raiu  [泡はきドラゴン]    [タイトーステーション新宿東口店@東京都@関東] Score: 1696398746 
149. ni-yan  [伝統の幻想ブン屋]    [ラウンドワン八千代村上店@千葉県@関東] Score: 1695857791 
150. MAKURO  [ナムコットメドレー・ゴッド]    [タイトーステーション新宿東口店@東京都@関東] Score: 1695747248 
151. TOARU  [ナムコットメドレー・ゴッド]    [セガ池袋ギーゴ@東京都@関東] Score: 1695739553 
152. Darful  [二代目超シューティング神]    [インターワールド伊勢崎店@群馬県@関東] Score: 1695710835 
153. Makaru.G  [GOD]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1695088765 
154. CloudyB.  [真・千溝段]    [STARMU GAME CENTER@Korea@海外] Score: 1694899197 
155. ALINE  [うー！がぉー！]    [タイトーステーション浜松店@静岡県@東海] Score: 1694121731 
156. EN453  [長野勢]    [タイトーステーション金沢店@石川県@北陸] Score: 1693554146 
157. kgat.Mf  [第三回天下一音ゲ祭 チャンピオン]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1693097543 
158. NARSAN  [GAME MUSIC TRIANGLER]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1692953491 
159. KL+.G  [α]    [TOM'S(TAINAN FOCUS)@Taiwan@海外] Score: 1692931499 
160. masaki  [チキン南蛮]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1692257033 
161. Fennec.  [うー！がぉー！]    [セガワールド北山形@山形県@東北] Score: 1691981391 
162. A.S.HERO  [超シューティング神]    [ARCADE1@Korea@海外] Score: 1691450324 
163. KeiPaN  [Crimson Phoenix God]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1690620377 
164. P-KANA*  [尊い・・・]    [ラウンドワン草加店@埼玉県@関東] Score: 1690056619 
165. Lasty  [I love "ようこそジャパリパークへ"]    [タイトーステーション大須店@愛知県@東海] Score: 1689305351 
166. Mizore  [ヴァンパイア神]    [プレイランドキング円町店@京都府@近畿] Score: 1689301409 
167. HONOME  [血界神]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1689124991 
168. SofLan  [FM音源神]    [プレイロットジョイ@東京都@関東] Score: 1689104717 
169. nyannyan  [FM音源神]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1689054746 
170. Hunter  [DullaGoddess]    [タイトー海老名ビナウォーク店@神奈川県@関東] Score: 1688975316 
171. PezzA>.<  [火水木金土日月大王]    [SMART GAME(WAN CHAI)@Hong Kong@海外] Score: 1688901651 
172. zanji86  [Detonator God]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1688161009 
173. Hinata  [I love "東方外魔伝"]    [アミューズメントベネクス越谷店@埼玉県@関東] Score: 1687718413 
174. KUU  [真・三段]    [タイトーイン綾瀬@東京都@関東] Score: 1687342243 
175. Shin  [OVER THE GOD]    [ジャムジャム神栖店@茨城県@関東] Score: 1686722155 
176. Naka.F  [ドリームパーティーゴッド]    [最後の５ドル@福岡県@九州] Score: 1685745081 
177. Seraphis  [QLWAGOD]    [タイトーステーション浅草店@東京都@関東] Score: 1685121802 
178. YUUTO***  [ろくでなし先生]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1684732850 
179. AKKI1027  [ノリノリンカちゃん]    [ラウンドワン堺駅前店@大阪府@近畿] Score: 1684028976 
180. X-Clark-  [Blue King Blue]    [TOM'S WORLD(HUALIEN E33)@Taiwan@海外] Score: 1682560572 
181. KS_44HT  [K.I.N.G]    [シルクハット川崎ダイス@神奈川県@関東] Score: 1682089282 
182. FFF  [GROOVER]    [キャロム青梅店@東京都@関東] Score: 1682082005 
183. LA-LA  [バーカバーカ！]    [TOM'S WORLD(KG5)@Taiwan@海外] Score: 1682077172 
184. mokotaso  [LINK PERFECT]    [ビバホーム新習志野店２階@千葉県@関東] Score: 1680730226 
185. NFRyo  [永遠の中二病]    [ＡＳＯ：ＶＩＢＡ！@東京都@関東] Score: 1680615771 
186. Pykw.PP  [GC2最終スコアタ皇帝]    [タイトーＦステーション南大沢店@東京都@関東] Score: 1679990005 
187. JUN*  [超存在ツキ]    [ドリームファクトリーいわき店@福島県@東北] Score: 1679086714 
188. YUKKE_GS  [GROOVER]    [スターダスト@岡山県@中国] Score: 1677853859 
189. TOCHISMA  [天体観測神]    [タイトー宇都宮ベルモール店@栃木県@関東] Score: 1677644564 
190. BLAZE  [Blaze King]    [セガ赤羽@東京都@関東] Score: 1676209529 
191. Goat  [仮初の満足]    [セガワールド高城@大分県@九州] Score: 1676066378 
192. 44.44  [STAR COASTER GOD]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1674606793 
193. SNK  [全都道府県完全制覇]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1674130837 
194. zody  [悪ノ女神]    [ハイパーメッセ@福岡県@九州] Score: 1673656303 
195. Kiririya  [I love "ノルニル"]    [ゲームプラザセントラル八王子店@東京都@関東] Score: 1673452059 
196. Ao8maMio  [Ｎ・Ｅ・Ｍ・Ｕ・Ｇ・Ｏ・Ｄ]    [ソニックビーム松戸店@千葉県@関東] Score: 1672092615 
197. SEIJAAA  [下克上神]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1671593979 
198. HASSY  [Ｓ級ワルキューレ]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1670758468 
199. Xu.  [Detonator God]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1670123944 
200. Takashi#  [マジェスティ神]    [ラウンドワン福岡天神店@福岡県@九州] Score: 1669032148 
********************************************************************************************
201. natsume.  [I love "SPARKLING FUTURE"]    [ラウンドワン福岡天神店@福岡県@九州] Score: 1667425065 
202. LOCK  [神・拾弐段]    [セガ池袋ギーゴ@東京都@関東] Score: 1667265430 
203. issy  [God a pain cover?]    [タイトーステーション所沢店@埼玉県@関東] Score: 1667120976 
204. NIS@  [LRLRABAB神]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1666029259 
205. ukyu  [ふわっふわ15歳]    [ラウンドワン梅田店@大阪府@近畿] Score: 1664445136 
206. Hydrex  [Ｓ＋級チャーハン]    [ROUND1(PUENTE HILLS)@America@海外] Score: 1664085735 
207. DA_FU  [TGM大王]    [ＡＧスクエア岡谷@長野県@信越] Score: 1664008431 
208. HORIZON  [Ｓ＋級紅茶]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1662048900 
209. Mikurino  [変なTシャツ女王]    [ROUND1(MAIN PLACE)@America@海外] Score: 1661963156 
210. SNOW  [ずんどこずんどこずんどこずんどこ]    [セガ伊勢@三重県@東海] Score: 1661572278 
211. Lyrical*  [水中だと力が増す人魚]    [タイトーララスクエア宇都宮店@栃木県@関東] Score: 1661365846 
212. YAMIGAMI  [八岐大蛇]    [SUPER GENIUS@Taiwan@海外] Score: 1658916835 
213. OGAPY.GC  [I love "瞳のLAZhWARD"]    [ＤＡＩＫＥＩＥＮ@千葉県@関東] Score: 1658457676 
214. e99tart  [GROOVER]    [シルクハット川崎ダイス@神奈川県@関東] Score: 1658049337 
215. TAK  [キャッチ・ザ・ハート]    [タイトーステーション大阪日本橋@大阪府@近畿] Score: 1657028552 
216. NEO+A  [獏]    [ラウンドワン草加店@埼玉県@関東] Score: 1656423595 
217. T=YURIKA  [ヴァンパイア姫]    [セガワールドアポロ@大阪府@近畿] Score: 1656010315 
218. Nera  [弱虫神]    [タイトーステーション所沢店@埼玉県@関東] Score: 1655912537 
219. DNOO  [初代DREAMER]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1655579031 
220. K-FISHER  [GROOVER]    [ラウンドワン池袋店@東京都@関東] Score: 1654938472 
221. BYDO  [SHRINE CASTLE]    [プレイランドエフワンＲ@宮城県@東北] Score: 1654570478 
222. Sefy  [The NecroDancer]    [タイトーステーション大須店@愛知県@東海] Score: 1653972723 
223. FSTK  [Chaos God]    [ウェアハウス川崎九龍城@神奈川県@関東] Score: 1650857878 
224. ysn  [Freedom God]    [セガ赤羽@東京都@関東] Score: 1650188387 
225. ashur  [God a pain cover?]    [プレイランドキング円町店@京都府@近畿] Score: 1649393714 
226. 8MA  [I love "空想フォレスト"]    [ラッキー八千代店@千葉県@関東] Score: 1649340359 
227. 387  [「プリスティンビート」]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1648292132 
228. H.SYSTEM  [腹ぺこ]    [遊パラダイス@山形県@東北] Score: 1647956309 
229. Chuckey  [LINK PERFECT]    [ナムコランド広島店@広島県@中国] Score: 1647888992 
230. KENTA-09  [Ｓ＋級ラーメン]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1647758051 
231. BANANA  [初代SSS CLASS]    [ラウンドワン南砂店@東京都@関東] Score: 1647568509 
232. THOMAS91  [わわわわーにん！]    [ARCADE1@Korea@海外] Score: 1646581897 
233. IZAWA=  [I love Xenoa]    [ユーズランド下田店@青森県@東北] Score: 1645551212 
234. MONO67  [ニャスニャス！]    [ナムコランド広島店@広島県@中国] Score: 1645302098 
235. wolfaith  [I love 夢眠ネム]    [ROUND1(MAIN PLACE)@America@海外] Score: 1645291024 
236. GARYU!!!  [S級真田信之]    [ＹＡＺワールド八王子みなみ野店@東京都@関東] Score: 1642794286 
237. S-Kang  [3EX]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1641578658 
238. kum@risa  [全都道府県完全制覇]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1640973228 
239. konata  [Linear King]    [ソユーゲームフィールド川口店@埼玉県@関東] Score: 1640642223 
240. *Ta2maN*  [わぁーい！]    [ラウンドワン京都河原町店@京都府@近畿] Score: 1638668459 
241. mrskon-G  [空想神]    [ゲームプラザ　ミッキー@愛知県@東海] Score: 1637036529 
242. Silver  [閉じた恋の瞳]    [Ｔ／Ｓファボーレ婦中@富山県@北陸] Score: 1636822648 
243. SAIKI  [すぽぉぉぉぉぉん]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1635651713 
244. 27  [すっごーい！]    [タイトーステーション町田店@東京都@関東] Score: 1635363875 
245. DAGO  [しんどい]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1633750471 
246. ZKS  [上上下下ABAB]    [セガ海田@広島県@中国] Score: 1631927912 
247. SHIENA  [世界の傍観者]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1631211056 
248. July_u26  [Nightmare]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1628783274 
249. R.KaBaTa  [TANO*C MASTER]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1628649318 
250. AIR4545K  [Ｓ＋級スープ]    [セガ水沢@岩手県@東北] Score: 1627492369 
251. KUJIGEN  [彼女とデートなうって使っていいよ。]    [ゲームマグマックス川越@埼玉県@関東] Score: 1626001058 
252. KEI  [Moonbound god]    [ゲームマグマックス川越@埼玉県@関東] Score: 1625656249 
253. Rokuku  [フィフス・フォース]    [ＣＬＵＢＳＥＧＡ相模大野@神奈川県@関東] Score: 1625315484 
254. SGK.orz  [SATURN]    [ＡＳＯ：ＶＩＢＡ！@東京都@関東] Score: 1624530505 
255. *BUSY-1  [完全に極めたなっしんぐ]    [AMERICAN POOL@Hong Kong@海外] Score: 1624504937 
256. DADDY  [I LOVE DARIUS]    [タイトーイン綾瀬@東京都@関東] Score: 1623872908 
257. G.urakaM  [真・初段]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1620631727 
258. NATUNON  [半人半霊の神]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1619695116 
259. KaZuKi10  [会いたい神]    [セガ松江@島根県@中国] Score: 1618822663 
260. BIS(9)  [I love STG]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1616986922 
261. #KEN*  [NEPTUNE]    [ゲームファンタジアン蒲郡店@愛知県@東海] Score: 1614790533 
262. TKCN#  [I love "怪談「カーナビ」"]    [セガ池袋ギーゴ@東京都@関東] Score: 1613926103 
263. JACK.O  [普通の魔法使い]    [ＡＧスクエア石岡店@茨城県@関東] Score: 1613778808 
264. RGA  [全都道府県完全制覇]    [アーバンスクエア大須@愛知県@東海] Score: 1612671432 
265. TOKOHA  [無彩色神]    [グラントシティ　ＩＮＮ　キスケ@愛媛県@四国] Score: 1611947340 
266. CHAN_M  [無理]    [ＰＥＰ魚町@福岡県@九州] Score: 1611691854 
267. takane01  [イノベーター]    [タイトーステーション柏店@千葉県@関東] Score: 1608221698 
268. yukineko  [大分勢]    [楽市楽座イオンモール宮崎店@宮崎県@九州] Score: 1604970681 
269. SOACH  [そんなんARIKA]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1604525851 
270. KAKKA  [羅刹神]    [ナムコランド　イーアスつくば店@茨城県@関東] Score: 1604416525 
