1. marirui  [ouroboros god]    [ポート２４御津@愛知県@東海] Score: 1612000000 
573. NANARI  [I love "怪談「カーナビ」"]    [コムテックタワー@愛知県@東海] Score: 1271863254 
615. NETABARE  [I am King]    [ポート２４八事店@愛知県@東海] Score: 1244141907 
644. ITODA  [そんなんARIKA]    [楽市楽座イオンモール扶桑店@愛知県@東海] Score: 1223806994 
696. ethyl  [千本桜先生]    [コムテックスクウェア@愛知県@東海] Score: 1195472930 
763. KEY.MA  [THREEFOLD]    [ユーワールド豊明@愛知県@東海] Score: 1167727514 
784. rikuoh-M  [甘い甘い神様]    [アミューズファクトリー@愛知県@東海] Score: 1156698424 
801. M196  [五次元神]    [タイトーステーション大須店@愛知県@東海] Score: 1147197906 
803. NYUDORA  [I love "MERLIN"]    [セガ安城@愛知県@東海] Score: 1146580047 
841. Taku_N.  [God hive of Ra]    [ユーファクトリー安城店@愛知県@東海] Score: 1127628278 
849. *SHEEP*  [十二宗家]    [ナムコランドＨＣ名古屋店@愛知県@東海] Score: 1124943077 
850. ZU  [クラーケン]    [ラウンドワン名古屋西春店@愛知県@東海] Score: 1124516443 
855. mkt  [BIG STAR]    [ゲームプラザ　ミッキー@愛知県@東海] Score: 1122421536 
875. Astral  [Z神]    [コムテックスクウェア@愛知県@東海] Score: 1109495109 
882. SoLA  [GROOVER]    [ＧＲＥＡ@愛知県@東海] Score: 1107017080 
899. KEISUKE  [グルーヴ皆伝]    [ラウンドワン半田店@愛知県@東海] Score: 1096412252 
908. Gemma  [埼玉勢]    [ゲームファンタジアン岡崎店@愛知県@東海] Score: 1089652280 
909. SYAGE  [どんつくどんつくどんつくどんつく]    [セガ金山@愛知県@東海] Score: 1088788748 
910. SYUSYOU  [Oh! Jesus!]    [セガ金山@愛知県@東海] Score: 1088512072 
935. Karen  [railgun god]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1071020172 
947. C*Crow:S  [Future Coaster God]    [セガ岡崎@愛知県@東海] Score: 1064738198 
950. Al  [現実逃避神]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1063218496 
954. DJGEN115  [ベテラン]    [セガ安城@愛知県@東海] Score: 1059385143 
980. m_noburi  [お断ユメちゃん！]    [名古屋レジャーランド　内田橋店@愛知県@東海] Score: 1046929085 
1000. TK  [GROOVER]    [ＣＬＵＢＳＥＧＡ名古屋伏見@愛知県@東海] Score: 1033627052 
