1. newxh  [メリークリスマス！]    [タイトーステーション所沢店@埼玉県@関東] Score: 1763000000 
21. ISiNKaGe  [影の神]    [タイトーステーション所沢店@埼玉県@関東] Score: 1758012756 
22. 9tan*3s0  [九龍神]    [タイトーステーション仙台名掛丁@宮城県@東北] Score: 1757977799 
23. Youh  [Crimson Phoenix God]    [セガ霞ヶ浦@茨城県@関東] Score: 1757358172 
24. NEGAME  [ARTIST]    [Ｇ－ｓｔａｇｅ飯塚店@福岡県@九州] Score: 1757286404 
25. *_MIKU_*  [MikuMikuGod]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1756609898 
26. PADANTE  [歌うショップキーパー]    [タイトーステーション所沢店@埼玉県@関東] Score: 1756435328 
27. cosmic  [春夏秋冬の神]    [ピンクパンサーつくば店@茨城県@関東] Score: 1754881377 
28. KANI  [Crimson Phoenix God]    [セガ水戸@茨城県@関東] Score: 1754412814 
29. BRO178  [ゴッド・オブ・ナイツ]    [ユーズランド　となみ店@富山県@北陸] Score: 1754230263 
30. arChuM@n  [真・十溝段]    [タイトーステーション金沢店@石川県@北陸] Score: 1754226277 
31. KizunaAI  [2.5次元伝説！]    [ロックンボウル@秋田県@東北] Score: 1753626489 
32. LEPHIA  [LINK PERFECT]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1753131241 
33. mika  [厄神様]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1752614113 
34. RAIn  [厄神様]    [プラサカプコン甲府店@山梨県@関東] Score: 1752405175 
35. Ryuki  [Crimson Phoenix God]    [セガ池袋ギーゴ@東京都@関東] Score: 1752107923 
36. 9JO-NEGI  [有　罪]    [タイトーイン綾瀬@東京都@関東] Score: 1751770332 
37. Fractale  [排除する！]    [タイトーステーション池袋西口店@東京都@関東] Score: 1751422634 
38. HIKARU  [Starlight Road God]    [コムテックタワー@愛知県@東海] Score: 1751116472 
39. B  [XYZ God]    [セガ安城@愛知県@東海] Score: 1750242603 
40. YUKIM@RU  [雷神]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1749835183 
41. SENSOR  [TANO*C GOD]    [タイトーステーション所沢店@埼玉県@関東] Score: 1749809091 
42. antisan  [白龍]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1749485220 
43. FRED  [漆黒の堕天使]    [アピナ塩尻店@長野県@信越] Score: 1749181680 
44. Noeln*  [Bad Apple!! God]    [ＡＭパークジアス上大岡@神奈川県@関東] Score: 1749172247 
45. KuriZZZZ  [謎の少女]    [アピナ塩尻店@長野県@信越] Score: 1748852078 
46. M2*NI53  [I AM EDM]    [タイトーステーション大須店@愛知県@東海] Score: 1748636341 
47. 2CYR  [永遠に紅い幼き月]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1748117577 
48. Yakumo  [みくみく女神♪]    [ラウンドワン大分店@大分県@九州] Score: 1747496450 
49. FoxIA  [Ψ発見伝！ゴッド]    [ナムコランド広島店@広島県@中国] Score: 1746745221 
50. KenWongL  [cyanine god]    [SUPER KING GAME CENTRE@Hong Kong@海外] Score: 1746713044 
51. LEAF  [Ｓ＋級たい焼き]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1746529604 
52. 2K-DeW  [S＋級せんべい]    [タイトーステーション仙台名掛丁@宮城県@東北] Score: 1745992097 
53. YASUNA  [DADDY GOD]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1745167995 
54. Hirojixi  [夢現神]    [タイトーステーション大須店@愛知県@東海] Score: 1744902809 
55. Yuly7188  [天下無双]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1744586633 
56. TuxedoSR  [駆け出し]    [ラウンドワン新潟店@新潟県@信越] Score: 1744130736 
57. HITACHI  [JUMPEE! GOD!]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1743282822 
58. juni  [God more raves?]    [セガ鳥取@鳥取県@中国] Score: 1743003038 
59. Squid  [LINK PERFECT]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1742913621 
60. INDEX  [究極進化！]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1742829520 
61. BEGINNER  [GROOVER]    [セガ池袋ギーゴ@東京都@関東] Score: 1742311977 
62. KYONKO  [LINK PERFECT]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1740568109 
63. A9  [わわわわーにん！]    [Ｈｅｙ@東京都@関東] Score: 1739820237 
64. K.x*4  [God recover run]    [ＯＫ－コーラル@新潟県@信越] Score: 1737715688 
65. LEOPARD6  [わぁーい！]    [タイトー小田原シティーモール店@神奈川県@関東] Score: 1737621806 
66. kuhaku  [完全に極めたなっしんぐ]    [ファンタジードーム八戸@青森県@東北] Score: 1737465292 
67. GUEST  [GROOVER]    [プレビ劇場ＩＳＥＳＡＫＩ@群馬県@関東] Score: 1736761307 
68. Komimi  [真・十じょ段]    [ラウンドワン池袋店@東京都@関東] Score: 1736602448 
69. NORIp*  [UFD GOD]    [スーパーノバ天童@山形県@東北] Score: 1736088603 
70. GIL  [グルーヴ百段]    [タイトーステーション池袋西口店@東京都@関東] Score: 1735821294 
71. FIEL  [LINK GOD]    [スペースファンタジーインフィニ@青森県@東北] Score: 1735656323 
72. ICENON*  [God hive of Ra]    [アムズ・下通り店@熊本県@九州] Score: 1735567387 
73. Kreide  [無理]    [ラウンドワン長野店@長野県@信越] Score: 1735299405 
74. Syou0139  [永遠の巫女]    [モリシア　アミューズパーク@千葉県@関東] Score: 1732857692 
75. Adam030  [第四ノ封印ヲ解放セシ者]    [LOVEJIS LION TAOYUAN@Taiwan@海外] Score: 1732257197 
76. KER?  [アドリブ係長]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1731554529 
77. PoCkRo.E  [うー！がぉー！]    [タイトーステーション立川北口店@東京都@関東] Score: 1731219393 
78. RETurn  [Starlight Road God]    [アミューズメントベネクス越谷店@埼玉県@関東] Score: 1730729433 
79. NOLF68  [「叫べ 叫べ 遠くへ」]    [セガ池袋ギーゴ@東京都@関東] Score: 1730535662 
80. SEA+:>  [真・百万段]    [SMART GAME(WAN CHAI)@Hong Kong@海外] Score: 1729985983 
81. FUJIN  [Stronger God]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1729881255 
82. KUPU  [鵺]    [タイトーステーション弥富店@愛知県@東海] Score: 1729818813 
83. R@/xx  [火水木金土日月神]    [メジャーゲーム館@新潟県@信越] Score: 1727908903 
84. HiBi  [絶対思想啓蒙局神]    [セガ岡崎@愛知県@東海] Score: 1727552925 
85. IIBOU  [DENEB]    [タイトーＦステーション上越店@新潟県@信越] Score: 1727191659 
86. Inver  [店内SS CLASS]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1727108677 
87. Mayuge.S  [Horizons God]    [キャッツアイ新札幌店@北海道@北海道] Score: 1726984039 
88. Verdure  [Good Night, Bad King.]    [STARMU GAME CENTER@Korea@海外] Score: 1726983420 
89. tope-kon  [歌って踊れるゲーマーアイドル]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1726965794 
90. HAOKA  [北海道勢]    [青森メトロポリス@青森県@東北] Score: 1725703245 
91. JALECO  [SEP, 2017 TOP RANKER]    [アルプラザボウル鯖江@福井県@北陸] Score: 1725526685 
92. Vedr  [練習中]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1725411676 
93. PAN  [みっくみくにしてやんよ～！]    [福井レジャーランド板垣店@福井県@北陸] Score: 1725302663 
94. pillow.  [もっと愛してー！]    [パームトップス@神奈川県@関東] Score: 1724832816 
95. Uetsu  [パワー]    [キングジョイ@愛知県@東海] Score: 1724676970 
96. TAK1  [Bad Apple!! God]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1724656410 
97. ZONE  [シンガポール勢]    [ラウンドワン北心斎橋店@大阪府@近畿] Score: 1723837195 
98. kz  [MikuLukaGod]    [セガ霞ヶ浦@茨城県@関東] Score: 1720345105 
99. NOGUnSO  [Frey's Master]    [セガ安城@愛知県@東海] Score: 1719897250 
100. cohalz  [全都道府県完全制覇]    [ゲームヴィクト盛岡@岩手県@東北] Score: 1719303170 
********************************************************************************************
101. LOLME  [千葉勢]    [ｎａｍｃｏ東京ガリバー松戸店@千葉県@関東] Score: 1718960353 
102. Shougo99  [神・初段]    [ラウンドワン浜松店@静岡県@東海] Score: 1718846256 
103. MIKO  [オンラインゲームゴッド]    [ゲームズ　ＩＭＯＮ@東京都@関東] Score: 1717720037 
104. ++aiko++  [しんどい]    [ビッグバン釧路@北海道@北海道] Score: 1716154319 
105. LEMON-E  [ネオサイタマの死神]    [ラッキー八千代店@千葉県@関東] Score: 1715272475 
106. C-man  [上上下下ABAB]    [ラウンドワン新開地店@兵庫県@近畿] Score: 1714651494 
107. hino  [Starlight Road God]    [アテナ日本橋@大阪府@近畿] Score: 1713688145 
108. Shizuku*  [デュラハン]    [ファミリーゲームフィールド防府@山口県@中国] Score: 1713542467 
109. OKA-MH  [とり天]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1713230377 
110. RAM4  [はじめてのぐるこす]    [ムトス相模原店@神奈川県@関東] Score: 1712549303 
111. E7+W7=KH  [リンドブルム]    [タイトーフジグラン北島店@徳島県@四国] Score: 1712427067 
112. SofLan  [FM音源神]    [プレイロットジョイ@東京都@関東] Score: 1712077993 
113. CloudyB.  [真・千溝段]    [STARMU GAME CENTER@Korea@海外] Score: 1711861826 
114. TAItyo!!  [隊長さん]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1711667105 
115. CATEnary  [名も無い幼い少年]    [コムテックタワー@愛知県@東海] Score: 1711276731 
116. BASS  [ヴァーチャー]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1711161936 
117. PURAMU  [Crazy ∞ Queen]    [プレビ劇場ＩＳＥＳＡＫＩ@群馬県@関東] Score: 1711056434 
118. nyannyan  [FM音源神]    [サードプラネットＢｉＶｉ仙台店@宮城県@東北] Score: 1709980562 
119. TyonTa  [AM貴族　すたどんたん女神]    [タイトーイン綾瀬@東京都@関東] Score: 1709848327 
120. YaMA-!  [魔法少女神]    [ＣＬＵＢＳＥＧＡ藤井寺@大阪府@近畿] Score: 1708217491 
121. KZ&manju  [全都道府県完全制覇]    [アミューズメントＣＵＥ奈良三条@奈良県@近畿] Score: 1707383859 
122. ENBI-N  [最高の舞台を目指せ！]    [ゲームフェスタミタマ@青森県@東北] Score: 1706820485 
123. MEBIUS  [練習中]    [青森メトロポリス@青森県@東北] Score: 1706749095 
124. MELLROCK  [Ｓ＋級うどん]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1706741003 
125. YasGni  [Kick It Out God]    [スターダスト@岡山県@中国] Score: 1706490628 
126. y4_Ntr  [Party 4G]    [アテナ日本橋@大阪府@近畿] Score: 1706354421 
127. CROW  [I love "LIMIT BURST"]    [タイトーイン綾瀬@東京都@関東] Score: 1706172481 
128. >TAPE<  [踊ってみたら七変化！]    [タイトーステーション池袋西口店@東京都@関東] Score: 1706167303 
129. N@Bastet  [Ｓ級バステト]    [ラウンドワン徳島・万代店@徳島県@四国] Score: 1705981532 
130. NANAMI!?  [バジリスク]    [ＧＲＥＡ@愛知県@東海] Score: 1705602845 
131. remina  [LINK PERFECT]    [セガ神楽坂@東京都@関東] Score: 1705163937 
132. LIMIO  [未確認幻想飛行少女]    [タイトー盛岡マッハランド店@岩手県@東北] Score: 1704735022 
133. NANOHA77  [I love "ETERNAL BLAZE"]    [セガワールド龍ヶ崎@茨城県@関東] Score: 1703653989 
134. PETER1  [青龍]    [GAMEZONE(MONG KOK)_h@Hong Kong@海外] Score: 1703394819 
135. Joker.  [火水木金土日月神]    [パームトップス@神奈川県@関東] Score: 1703315372 
136. hiya*ks  [でんぱ神]    [セガワールド草津@滋賀県@近畿] Score: 1703067332 
137. mikan?  [あのね…実はわたし、女神なんだ…?]    [ラウンドワン青森店@青森県@東北] Score: 1702804130 
138. Nera  [弱虫神]    [プレイロットジョイ@東京都@関東] Score: 1701911972 
139. KENO  [S+級ワンタン麺]    [ラウンドワン福島店@福島県@東北] Score: 1701772126 
140. daisuki  [世界の歌姫]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1701485523 
141. Fennec.  [うー！がぉー！]    [セガワールド北山形@山形県@東北] Score: 1700914159 
142. Mojo  [LINK PERFECT]    [ビバーチャ@広島県@中国] Score: 1699553754 
143. Kissshot  [絶対思想啓蒙局神]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1699397708 
144. EXT  [仮初の満足]    [Ｈｅｙ@東京都@関東] Score: 1699300854 
145. HeiC*  [God of Moon]    [GOLDEN ERA GAME CENTRE@Hong Kong@海外] Score: 1698812040 
146. CITRUS  [ノリノリンカちゃん]    [ラウンドワン千日前店@大阪府@近畿] Score: 1698595974 
147. LEE  [I love "君色サブリミナル"]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1698567614 
148. KOTONARI  [STAR]    [ゲームランド松山@長崎県@九州] Score: 1698529469 
149. KAKANO3  [香川勢]    [タイトーステーション国分寺店@東京都@関東] Score: 1697764674 
150. MAKURO  [ナムコットメドレー・ゴッド]    [タイトーステーション新宿東口店@東京都@関東] Score: 1697689664 
151. Magnolia  [PRINCESS]    [ゲームインファンファン藤沢新館@神奈川県@関東] Score: 1697524712 
152. ni-yan  [伝統の幻想ブン屋]    [ラウンドワン八千代村上店@千葉県@関東] Score: 1697041981 
153. EJ@765  [S級真田昌幸]    [ラウンドワン府中本町駅前店@東京都@関東] Score: 1697016472 
154. xx_030  [会いたい神]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1696491769 
155. Raiu  [泡はきドラゴン]    [タイトーステーション新宿東口店@東京都@関東] Score: 1696398746 
156. TOARU  [ナムコットメドレー・ゴッド]    [セガ池袋ギーゴ@東京都@関東] Score: 1695739553 
157. Darful  [二代目超シューティング神]    [インターワールド伊勢崎店@群馬県@関東] Score: 1695736955 
158. KUU  [I love Tatsh]    [タイトーイン綾瀬@東京都@関東] Score: 1695298168 
159. kgat.Mf  [第三回天下一音ゲ祭 チャンピオン]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1695161741 
160. Makaru.G  [GOD]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1695088765 
161. ALINE  [うー！がぉー！]    [タイトーステーション浜松店@静岡県@東海] Score: 1694121731 
162. EN453  [長野勢]    [トヤマ　レジャーランド　呉羽店@富山県@北陸] Score: 1693613163 
163. NARSAN  [GAME MUSIC TRIANGLER]    [神奈川レジャーランド厚木店@神奈川県@関東] Score: 1692953491 
164. KL+.G  [α]    [TOM'S(TAINAN FOCUS)@Taiwan@海外] Score: 1692931499 
165. FFF  [GROOVER]    [キャロム青梅店@東京都@関東] Score: 1692715177 
166. masaki  [チキン南蛮]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1692257033 
167. HONOME  [血界神]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1692046956 
168. A.S.HERO  [超シューティング神]    [ARCADE1@Korea@海外] Score: 1691450324 
169. KeiPaN  [Crimson Phoenix God]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1690620377 
170. P-KANA*  [尊い・・・]    [ラウンドワン草加店@埼玉県@関東] Score: 1690056619 
171. Mizore  [ヴァンパイア神]    [プレイランドキング円町店@京都府@近畿] Score: 1689436107 
172. Lasty  [I love "ようこそジャパリパークへ"]    [タイトーステーション大須店@愛知県@東海] Score: 1689305351 
173. Hunter  [DullaGoddess]    [パームトップス@神奈川県@関東] Score: 1689044774 
174. PezzA>.<  [火水木金土日月大王]    [SMART GAME(WAN CHAI)@Hong Kong@海外] Score: 1688901651 
175. Mikurino  [変なTシャツ女王]    [ROUND1(MAIN PLACE)@America@海外] Score: 1688306592 
176. zanji86  [Detonator God]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1688161009 
177. Hinata  [I love "東方外魔伝"]    [アミューズメントベネクス越谷店@埼玉県@関東] Score: 1687718413 
178. Shin  [OVER THE GOD]    [ジャムジャム神栖店@茨城県@関東] Score: 1686722155 
179. Naka.F  [ドリームパーティーゴッド]    [最後の５ドル@福岡県@九州] Score: 1685745081 
180. Seraphis  [QLWAGOD]    [タイトーステーション浅草店@東京都@関東] Score: 1685121802 
181. KS_44HT  [K.I.N.G]    [シルクハット川崎ダイス@神奈川県@関東] Score: 1685117583 
182. YUUTO***  [ろくでなし先生]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1684732850 
183. AKKI1027  [ノリノリンカちゃん]    [ラウンドワン堺駅前店@大阪府@近畿] Score: 1684028976 
184. X-Clark-  [Blue King Blue]    [TOM'S WORLD(HUALIEN E33)@Taiwan@海外] Score: 1682560572 
185. LA-LA  [バーカバーカ！]    [TOM'S WORLD(KG5)@Taiwan@海外] Score: 1682077172 
186. 44.44  [STAR COASTER GOD]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1681528464 
187. mokotaso  [LINK PERFECT]    [ビバホーム新習志野店２階@千葉県@関東] Score: 1680730226 
188. YUKKE_GS  [GROOVER]    [スターダスト@岡山県@中国] Score: 1680640226 
189. NFRyo  [永遠の中二病]    [ＡＳＯ：ＶＩＢＡ！@東京都@関東] Score: 1680615771 
190. Pykw.PP  [GC2最終スコアタ皇帝]    [タイトーＦステーション南大沢店@東京都@関東] Score: 1679990005 
191. HASSY  [Ｓ級ワルキューレ]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1679490312 
192. JUN*  [超存在ツキ]    [ドリームファクトリーいわき店@福島県@東北] Score: 1679238485 
193. Goat  [仮初の満足]    [セガワールド高城@大分県@九州] Score: 1678867773 
194. TOCHISMA  [天体観測神]    [タイトー宇都宮ベルモール店@栃木県@関東] Score: 1677644564 
195. issy  [God a pain cover?]    [タイトーステーション所沢店@埼玉県@関東] Score: 1677115832 
196. BLAZE  [Blaze King]    [セガ赤羽@東京都@関東] Score: 1676209529 
197. Kiririya  [I love "ノルニル"]    [プレイロットジョイ@東京都@関東] Score: 1676188410 
198. SNK  [全都道府県完全制覇]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1674130837 
199. zody  [悪ノ女神]    [ハイパーメッセ@福岡県@九州] Score: 1673656303 
200. Ao8maMio  [Ｎ・Ｅ・Ｍ・Ｕ・Ｇ・Ｏ・Ｄ]    [ソニックビーム松戸店@千葉県@関東] Score: 1672092615 
********************************************************************************************
201. SEIJAAA  [下克上神]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1671593979 
202. SNOW  [ずんどこずんどこずんどこずんどこ]    [ゲームチャオ松阪@三重県@東海] Score: 1670511720 
203. LOCK  [神・拾弐段]    [セガ池袋ギーゴ@東京都@関東] Score: 1670175956 
204. Xu.  [Detonator God]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1670123944 
205. ukyu  [ふわっふわ15歳]    [セガ新三国アルゴ７@大阪府@近畿] Score: 1669141889 
206. Takashi#  [マジェスティ神]    [ラウンドワン福岡天神店@福岡県@九州] Score: 1669032148 
207. YAMIGAMI  [S級本多忠勝]    [TOM'S WORLD(MING YAO)@Taiwan@海外] Score: 1668981965 
208. natsume.  [I love "SPARKLING FUTURE"]    [ラウンドワン福岡天神店@福岡県@九州] Score: 1667425065 
209. NIS@  [LRLRABAB神]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1666029259 
210. Hydrex  [Ｓ＋級チャーハン]    [ROUND1(PUENTE HILLS)@America@海外] Score: 1664085735 
211. DA_FU  [TGM大王]    [ＡＧスクエア岡谷@長野県@信越] Score: 1664008431 
212. HORIZON  [Ｓ＋級紅茶]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1662048900 
213. Lyrical*  [水中だと力が増す人魚]    [タイトーララスクエア宇都宮店@栃木県@関東] Score: 1661365846 
214. KENTA-09  [Ｓ＋級ラーメン]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1658795290 
215. e99tart  [GROOVER]    [ＣＬＵＢＳＥＧＡ自由ヶ丘@東京都@関東] Score: 1658645646 
216. OGAPY.GC  [I love "瞳のLAZhWARD"]    [ＤＡＩＫＥＩＥＮ@千葉県@関東] Score: 1658600465 
217. K-FISHER  [GROOVER]    [ラウンドワン池袋店@東京都@関東] Score: 1657929075 
218. TAK  [キャッチ・ザ・ハート]    [タイトーステーション大阪日本橋@大阪府@近畿] Score: 1657028552 
219. NEO+A  [獏]    [ラウンドワン草加店@埼玉県@関東] Score: 1656423595 
220. T=YURIKA  [ヴァンパイア姫]    [セガワールドアポロ@大阪府@近畿] Score: 1656010315 
221. Sefy  [The NecroDancer]    [タイトーステーション池袋西口店@東京都@関東] Score: 1655867423 
222. DNOO  [初代DREAMER]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1655579031 
223. BYDO  [SHRINE CASTLE]    [プレイランドエフワンＲ@宮城県@東北] Score: 1654570478 
224. *Ta2maN*  [わぁーい！]    [ラウンドワン京都河原町店@京都府@近畿] Score: 1653596903 
225. FSTK  [Chaos God]    [ウェアハウス川崎九龍城@神奈川県@関東] Score: 1650857878 
226. ysn  [Freedom God]    [セガ赤羽@東京都@関東] Score: 1650188387 
227. Chuckey  [LINK PERFECT]    [ビバーチャ@広島県@中国] Score: 1649919937 
228. ashur  [God a pain cover?]    [プレイランドキング円町店@京都府@近畿] Score: 1649393714 
229. 8MA  [I love "空想フォレスト"]    [ラッキー八千代店@千葉県@関東] Score: 1649340359 
230. H.SYSTEM  [腹ぺこ]    [遊パラダイス@山形県@東北] Score: 1648954406 
231. 387  [「プリスティンビート」]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1648292132 
232. BANANA  [初代SSS CLASS]    [ラウンドワン南砂店@東京都@関東] Score: 1647568509 
233. ZKS  [上上下下ABAB]    [セガ海田@広島県@中国] Score: 1647129721 
234. THOMAS91  [わわわわーにん！]    [ARCADE1@Korea@海外] Score: 1646581897 
235. IZAWA=  [I love Xenoa]    [ユーズランド下田店@青森県@東北] Score: 1645551212 
236. wolfaith  [おねがい王様]    [ROUND1(MAIN PLACE)@America@海外] Score: 1645409103 
237. MONO67  [ニャスニャス！]    [ナムコランド広島店@広島県@中国] Score: 1645302098 
238. GARYU!!!  [S級真田信之]    [ＹＡＺワールド八王子みなみ野店@東京都@関東] Score: 1642794286 
239. S-Kang  [3EX]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1641578658 
240. kum@risa  [全都道府県完全制覇]    [アミューズメントエース津田沼店@千葉県@関東] Score: 1640973228 
241. konata  [Linear King]    [ソユーゲームフィールド川口店@埼玉県@関東] Score: 1640642223 
242. #KEN*  [NEPTUNE]    [豊川メトロポリス@愛知県@東海] Score: 1637206625 
243. mrskon-G  [空想神]    [ゲームプラザ　ミッキー@愛知県@東海] Score: 1637036529 
244. Silver  [閉じた恋の瞳]    [ユーズランド高岡店@富山県@北陸] Score: 1636824018 
245. SAIKI  [すぽぉぉぉぉぉん]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1635651713 
246. 27  [すっごーい！]    [タイトーステーション町田店@東京都@関東] Score: 1635363875 
247. DAGO  [しんどい]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1634776896 
248. KUJIGEN  [君にねむきゅんきゅん！]    [ゲームマグマックス川越@埼玉県@関東] Score: 1634514717 
249. SHIENA  [世界の傍観者]    [タイトー新宿南口ゲームワールド@東京都@関東] Score: 1631211056 
250. July_u26  [Nightmare]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1628783274 
251. R.KaBaTa  [TANO*C MASTER]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1628649318 
252. KEI  [Moonbound god]    [ゲームマグマックス川越@埼玉県@関東] Score: 1627505226 
253. SGK.orz  [SATURN]    [アムネット五反田店@東京都@関東] Score: 1627500898 
254. AIR4545K  [Ｓ＋級スープ]    [ＢＩＮＧＯ一関@岩手県@東北] Score: 1627493781 
255. KaZuKi10  [Journey God]    [セガ松江@島根県@中国] Score: 1626353899 
256. Rokuku  [フィフス・フォース]    [ＣＬＵＢＳＥＧＡ相模大野@神奈川県@関東] Score: 1625315484 
257. *BUSY-1  [完全に極めたなっしんぐ]    [AMERICAN POOL@Hong Kong@海外] Score: 1624504937 
258. DADDY  [I LOVE DARIUS]    [タイトーイン綾瀬@東京都@関東] Score: 1623872908 
259. KOTATU  [金色の異端児]    [アップル　グランリバー大井川店@静岡県@東海] Score: 1623256134 
260. G.urakaM  [真・初段]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1620631727 
261. NATUNON  [半人半霊の神]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1619695116 
262. JACK.O  [普通の魔法使い]    [ＡＧスクエア石岡店@茨城県@関東] Score: 1619466611 
263. RGA  [全都道府県完全制覇]    [タイトーイン綾瀬@東京都@関東] Score: 1618441806 
264. BIS(9)  [I love STG]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1616986922 
265. TKCN#  [I love "怪談「カーナビ」"]    [セガ池袋ギーゴ@東京都@関東] Score: 1613926103 
266. TOKOHA  [無彩色神]    [グラントシティ　ＩＮＮ　キスケ@愛媛県@四国] Score: 1611947340 
267. CHAN_M  [無理]    [ＰＥＰ魚町@福岡県@九州] Score: 1611691854 
268. SOACH  [そんなんARIKA]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1608458558 
269. takane01  [イノベーター]    [タイトーステーション柏店@千葉県@関東] Score: 1608221698 
270. KAKKA  [羅刹神]    [ナムコランド　イーアスつくば店@茨城県@関東] Score: 1605419257 
271. yukineko  [大分勢]    [楽市楽座イオンモール宮崎店@宮崎県@九州] Score: 1604970681 
