1. newxh  [RAY FORCE KING]    [タイトーステーション所沢店@埼玉県@関東] Score: 1582000000 
45. KenWong  [AXION KING]    [SUPER KING GAME CENTRE@Hong Kong@海外] Score: 1576748049 
46. SCOTT  [God ID]    [アミューズファクトリー@愛知県@東海] Score: 1576306764 
47. *BUSY-0  [完全に極めたなっしんぐ]    [AMERICAN POOL@Hong Kong@海外] Score: 1576127728 
48. hi-low  [REV. × GC 達人]    [セガワールド白河@福島県@東北] Score: 1576001373 
49. Hei*  [God of Moon]    [AMERICAN POOL@Hong Kong@海外] Score: 1575484740 
50. TAK1  [ハロウィンマスター]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1575371740 
51. pillow  [ちょっぴりセクシー]    [タイトー海老名ビナウォーク店@神奈川県@関東] Score: 1574429412 
52. antisan  [鵺]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1574337757 
53. /*nYa  [そーなのかー]    [ソユーゲームフィールド新発田店@新潟県@信越] Score: 1574331065 
54. SofLan  [RAY FORCE GOD]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1574079402 
55. Lasty  [I love "ようこそジャパリパークへ"]    [アミューズファクトリー@愛知県@東海] Score: 1573958784 
56. Uetsu  [I AM EDM]    [メジャーゲーム館@新潟県@信越] Score: 1573927388 
57. 9_tan*40  [細い神]    [仙台レジャーランド一番町店@宮城県@東北] Score: 1573893381 
58. BRO  [十人の話を同時に聞くことが出来る女神]    [スペースファンタジーインフィニ@青森県@東北] Score: 1573565364 
59. SNK  [全都道府県完全制覇]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1573363350 
60. DogDept.  [Black Moon God]    [ラウンドワン東淀川店@大阪府@近畿] Score: 1573287076 
61. NEO+ex  [風神]    [あそんじゃ王国　アリオ西新井店@東京都@関東] Score: 1573283340 
62. BEGINNER  [GROOVER]    [タイトーステーション所沢店@埼玉県@関東] Score: 1573161339 
63. LEPHIA  [LINK PERFECT]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1573146378 
64. *_MIKU_*  [MikuMikuGod]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1572741599 
65. MHRJ  [星の歌姫]    [ロックンボウル@秋田県@東北] Score: 1572730704 
66. LEE  [魔奴化]    [キャッツアイ恵庭店@北海道@北海道] Score: 1572486385 
67. YAMA-!?  [骸骨神]    [ＣＬＵＢＳＥＧＡ藤井寺@大阪府@近畿] Score: 1572432001 
68. ChanM@ru  [Rebellion God]    [タイトーステーション金沢店@石川県@北陸] Score: 1571996283 
69. 9M@NO3  [LOCK]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1571950458 
70. LIMIO  [未確認幻想飛行少女]    [ラウンドワン盛岡店@岩手県@東北] Score: 1571800100 
71. HIKARU  [うー！がぉー！]    [コムテックタワー@愛知県@東海] Score: 1571787322 
72. HORIZON  [Ｓ＋級紅茶]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1571753148 
73. M2*NI53  [NEPTUNE]    [アミューズファクトリー@愛知県@東海] Score: 1571445598 
74. U5*  [ドリームパーティーゴッド]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1571423546 
75. Rinne!?  [バーカバーカ！]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1571346339 
76. KEYJILL*  [TANO*C GOD]    [セガ霞ヶ浦@茨城県@関東] Score: 1571282707 
77. SEA+EX  [2112410403 22032304]    [SMART GAME(WAN CHAI)@Hong Kong@海外] Score: 1570992281 
78. P-KANA*  [期待の新人]    [ラウンドワン草加店@埼玉県@関東] Score: 1570451514 
79. LEOPARD6  [ALERT]    [タイトー小田原シティーモール店@神奈川県@関東] Score: 1570058135 
80. G.urakaM  [二代目スコアタ侍]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1569985632 
81. FIEL  [未来も、希望も、奪還する！]    [スペースファンタジーインフィニ@青森県@東北] Score: 1569791204 
82. SMP  [でんぱ神]    [ナムコランド広島店@広島県@中国] Score: 1569692624 
83. Yahiko*  [ドリームパーティーゴッド]    [ＡＭパークジアス上大岡@神奈川県@関東] Score: 1569240555 
84. Sasuke  [Phone Dead God]    [ビッグバン釧路@北海道@北海道] Score: 1568947136 
85. ICENON*  [God hive of Ra]    [ゲームコーナーＢＡＭＢＯＯ@熊本県@九州] Score: 1568880881 
86. KURI_ZZZ  [ふわっふわ15歳]    [楽市楽座イオンモール松本店@長野県@信越] Score: 1568836746 
87. Koton@ri  [Wacky god]    [タイトーステーション池袋西口店@東京都@関東] Score: 1568723883 
88. 2CYR  [永遠に紅い幼き月]    [ラッキー中央店フェリシダ@千葉県@関東] Score: 1567999210 
89. YASUNA  [DADDY GOD]    [タイトーあべのアポロ店@大阪府@近畿] Score: 1567731546 
90. Yakumo  [みくみく女神♪]    [ラウンドワン大分店@大分県@九州] Score: 1567706157 
91. NORIp  [Extra God]    [カレッジ・スクエア@山形県@東北] Score: 1567453159 
92. CATENARY  [I love "2112410403927243233368"]    [コムテックタワー@愛知県@東海] Score: 1567431549 
93. Shin  [OVER THE GOD]    [セガ霞ヶ浦@茨城県@関東] Score: 1566834703 
94. Albireo  [LINK PERFECT]    [ビバホーム新習志野店２階@千葉県@関東] Score: 1566830734 
95. LEMON-E  [オツキミ神]    [ラッキー八千代店@千葉県@関東] Score: 1566732725 
96. TUXEDO.R  [駆け出し]    [メジャーロード黒埼店@新潟県@信越] Score: 1566689926 
97. Kreide  [がんばユメちゃん]    [セガワールド豊科@長野県@信越] Score: 1565706948 
98. Xuzuo  [Detonator God]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1565543732 
99. FRED  [グルーヴ五段]    [アピナ伊那店@長野県@信越] Score: 1565341285 
100. Kissshot  [絶対思想啓蒙局神]    [ＣＬＵＢＳＥＧＡ藤井寺@大阪府@近畿] Score: 1564455494 
********************************************************************************************
101. DADDY  [I love "DADDY MULK"]    [タイトーステーション池袋西口店@東京都@関東] Score: 1564421823 
102. Makaru.G  [電子の歌姫]    [マンガ倉庫　鹿児島店@鹿児島県@九州] Score: 1564341237 
103. SHUU  [I love "東方外魔伝"]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1563895296 
104. KENO  [我が駆るは、天翔る鉄騎兵]    [ラウンドワン福島店@福島県@東北] Score: 1563830596 
105. THOMAS91  [わわわわーにん！]    [STARMU GAME CENTER@Korea@海外] Score: 1563602666 
106. KUPU  [31337神]    [タイトーステーション弥富店@愛知県@東海] Score: 1563291757 
107. A.S.HERO  [最高の舞台を目指せ！]    [MOFUN SEOUL@Korea@海外] Score: 1562832008 
108. Yuly7188  [唯我独尊]    [サンアミューズＧ２@鹿児島県@九州] Score: 1562452463 
109. IIBOU  [SUN]    [タイトーＦステーション上越店@新潟県@信越] Score: 1562335897 
110. GUEST  [GROOVER]    [プレビ劇場ＩＳＥＳＡＫＩ@群馬県@関東] Score: 1561483237 
111. GIL  [二代目超シューティング神]    [タイトーステーション池袋西口店@東京都@関東] Score: 1561231869 
112. Mojo  [LINK PERFECT]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1560901588 
113. RLya  [魔奴化]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1560732602 
114. M4R1S4  [死してなお、愉しい女神]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1560245291 
115. Raiu  [泡はきドラゴン]    [タイトーステーション新宿東口店@東京都@関東] Score: 1560234675 
116. SEIJAAA  [下克上神]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1559966865 
117. chris  [Detonator God]    [キャッツアイ東苗穂店@北海道@北海道] Score: 1559604764 
118. kum@risa  [四季の大王]    [鉄腕２４　稲毛長沼店@千葉県@関東] Score: 1559533039 
119. HITACHI  [広島勢]    [ラウンドワン鹿児島宇宿店@鹿児島県@九州] Score: 1559171690 
120. Ryukl*  [破壊神]    [セガ赤羽@東京都@関東] Score: 1558891110 
121. KYONKO  [ドリームパーティーゴッド]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1558295305 
122. NATUNON  [半人半霊の神]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1558249776 
123. onsenti  [dis-human]    [タイトーステーション池袋西口店@東京都@関東] Score: 1558242466 
124. N4ken@Bs  [すうぃーと☆ゴッド]    [タイトーフジグラン北島店@徳島県@四国] Score: 1558236315 
125. Law  [DEATH]    [セガワールド宇都宮@栃木県@関東] Score: 1557616481 
126. 9*cM  [小夜ちゃん女神]    [ファミリーゲームフィールド防府@山口県@中国] Score: 1557038712 
127. Sekirei  [第三回天下一音ゲ祭 チャンピオン]    [遊スペース　マジカル@兵庫県@近畿] Score: 1556672158 
128. VERDURE  [チキンライス]    [STARMU GAME CENTER@Korea@海外] Score: 1556034451 
129. NOLF68  [ゆっくりしていってね！]    [プラサカプコン横須賀店@神奈川県@関東] Score: 1555850244 
130. Eagle.  [Ever…]    [タイトーイン綾瀬@東京都@関東] Score: 1555580432 
131. cycla.  [I love "ようこそジャパリパークへ"]    [セガワールド北山形@山形県@東北] Score: 1554317937 
132. Shougo99  [神・弐級]    [ラウンドワン浜松店@静岡県@東海] Score: 1553396200 
133. DNOO  [初代DREAMER]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1553226891 
134. NARSAN  [GAME MUSIC TRIANGLER]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1552940781 
135. BL4CK3M0  [GHOST]    [サードプラネットＢ京都二条店@京都府@近畿] Score: 1552680203 
136. TAKE  [God's Blood]    [アピナ鶴岡店@山形県@東北] Score: 1552443539 
137. PICO  [羅刹神]    [ピンクパンサーつくば店@茨城県@関東] Score: 1551720830 
138. xx_Adam  [ネトゲ廃人大王]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1551695602 
139. SNOW  [ずんどこずんどこずんどこずんどこ]    [セガ伊勢@三重県@東海] Score: 1551263056 
140. OGAPY.GC  [オンラインゲームキング]    [ＤＡＩＫＥＩＥＮ@千葉県@関東] Score: 1551001387 
141. POTETO  [戦車女神]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1550943307 
142. cohalz  [INFINITY]    [モナコ川越店@埼玉県@関東] Score: 1550854209 
143. Cocoa.*  [HARDCORE SYNDROME]    [セガワールド静岡@静岡県@東海] Score: 1550473070 
144. juni  [第一ノ封印ヲ解放セシ者]    [セガ鳥取@鳥取県@中国] Score: 1550446337 
145. RETurn  [カンフー神]    [ｎａｍｃｏロブレ小山店@栃木県@関東] Score: 1550078998 
146. K.x*N3  [幽冥楼閣の亡霊少女]    [ＯＫ－コーラル@新潟県@信越] Score: 1548895522 
147. Nera  [弱虫神]    [ゲームプラザセントラル八王子店@東京都@関東] Score: 1548765064 
148. AKKI1027  [ノリノリンカちゃん]    [ラウンドワン宝塚店@兵庫県@近畿] Score: 1548149199 
149. July_u26  [Nightmare]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1547561444 
150. Syou0139  [伝統の幻想ブン屋]    [モリシア　アミューズパーク@千葉県@関東] Score: 1546926836 
151. HONOME  [railgun god]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1546110589 
152. tope-kon  [獏]    [タイトー盛岡マッハランド店@岩手県@東北] Score: 1546091513 
153. MYU-10  [一番星☆☆☆]    [タイトー海老名ビナウォーク店@神奈川県@関東] Score: 1545991387 
154. VAL  [二代目超シューティング神]    [アミューズファクトリー@愛知県@東海] Score: 1545759395 
155. PAN  [みっくみくにしてやんよ～！]    [福井レジャーランド板垣店@福井県@北陸] Score: 1545134280 
156. Vedr  [練習中]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1545046579 
157. ())  [渾沌の神]    [セガワールド八戸Ｒ４５@青森県@東北] Score: 1544424737 
158. Komimi  [ずんどこずんどこずんどこずんどこ]    [ｎａｍｃｏ巣鴨店@東京都@関東] Score: 1544300287 
159. GROOVER  [「幼女の世界」]    [TOM'S WORLD(TAINAN JHENGUANG)@Taiwan@海外] Score: 1544262251 
160. Raijin.  [獏]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1544109722 
161. NOGUnSO  [S級織田信長]    [ｎａｍｃｏイオンモール大高店@愛知県@東海] Score: 1543025328 
162. SEFY  [ウロボロス]    [キャロム坂戸店@埼玉県@関東] Score: 1542874982 
163. 44.44  [STAR COASTER GOD]    [ｎａｍｃｏ梅田店@大阪府@近畿] Score: 1542623738 
164. arisia  [ペンドラゴン]    [タイトーステーション浜松店@静岡県@東海] Score: 1542561624 
165. Naka.F  [死ぬがよい。]    [ｎａｍｃｏ梅田店@大阪府@近畿] Score: 1542247662 
166. daisuki  [初代SSS CLASS]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1541695276 
167. TAItyo!!  [隊長さん]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1541331808 
168. MIKO  [労働反対神]    [ゲームズ　ＩＭＯＮ@東京都@関東] Score: 1540356993 
169. CITRUS  [ノリノリンカちゃん]    [セガ難波アビオン@大阪府@近畿] Score: 1539689925 
170. C-man  [わわわわーにん！]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1539590891 
171. 681&683  [リンドブルム]    [タイトーフジグラン北島店@徳島県@四国] Score: 1538817314 
172. RAM4  [ドリームパーティーマスター]    [ムトス相模原店@神奈川県@関東] Score: 1538163285 
173. karinPTV  [I love "Lost Colors"]    [アミューズファクトリー@愛知県@東海] Score: 1537409278 
174. Rokuku  [フィフス・フォース]    [ＣＬＵＢＳＥＧＡ相模大野@神奈川県@関東] Score: 1537038361 
175. ukyu  [ふわっふわ15歳]    [ラッキー西千葉店@千葉県@関東] Score: 1536167565 
176. S-Kang  [天下一チャレンジャー]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1535065246 
177. NIS@  [ドリームパーティーゴッド]    [マンガ倉庫　鹿児島店@鹿児島県@九州] Score: 1534803445 
178. TOKOHA  [神々が恋した神]    [プラサカプコン新居浜店@愛媛県@四国] Score: 1534002325 
179. NFRyo  [永遠の中二病]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1533111302 
180. SPIRYTUS  [2003 GOD]    [タイトーステーション大須店@愛知県@東海] Score: 1532433181 
181. FSTK  [Chaos God]    [セガワールドアルカス@東京都@関東] Score: 1531333182 
182. YUKKE_GS  [GROOVER]    [岡山ジョイポリス@岡山県@中国] Score: 1530903894 
183. BASS  [恋愛王]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1530883626 
184. xx_LA-LA  [バーカバーカ！]    [NEW CITY(JHONGLI)@Taiwan@海外] Score: 1530768482 
185. Camilia  [ウサテイ神]    [ハイテクランドセガ渋谷@東京都@関東] Score: 1529918657 
186. GFP  [I love Ray series]    [カレッジ・スクエア@山形県@東北] Score: 1529852652 
187. KZ+manju  [全都道府県完全制覇]    [アテナ日本橋@大阪府@近畿] Score: 1529660669 
188. KUU  [Ｓ＋級クレープ]    [ゲームファンタジア春日部@埼玉県@関東] Score: 1529351285 
189. Takashi#  [God noir forever.]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1528369803 
190. NANOHA77  [沖縄勢]    [東京レジャーランド秋葉原店@東京都@関東] Score: 1527661708 
191. mike  [オンラインゲームゴッド]    [アミパラここじゃ@広島県@中国] Score: 1527645118 
192. PETER1  [ＥＸ級関脇]    [AMERICAN POOL@Hong Kong@海外] Score: 1527632954 
193. H.SYSTEM  [トムヤムクン]    [遊パラダイス@山形県@東北] Score: 1527575367 
194. K-FISHER  [GROOVER]    [ラウンドワン池袋店@東京都@関東] Score: 1527151717 
195. Kirisame  [魔砲「ファイナルマスタースパーク」]    [ｎａｍｃｏイオンＭＫＹＯＴＯ店@京都府@近畿] Score: 1526861133 
196. *Ta2maN*  [ハイテンションA-POPガール]    [ラウンドワン京都伏見店@京都府@近畿] Score: 1526817894 
197. HiBi  [絶対思想啓蒙局神]    [アミューズファクトリー@愛知県@東海] Score: 1526121211 
198. ARuFa  [Good Night, Bad God.]    [タイトーステーション池袋西口店@東京都@関東] Score: 1523851817 
199. MEBIUS  [練習中]    [青森メトロポリス@青森県@東北] Score: 1523683786 
200. S_LAN  [α]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1523028811 
********************************************************************************************
201. TAPE  [踊ってみたら七変化！]    [タイトーステーション池袋西口店@東京都@関東] Score: 1522809263 
202. ni-yan  [バーカバーカ！]    [ラウンドワン八千代村上店@千葉県@関東] Score: 1522410954 
203. ZE4MI  [踊る骸骨]    [タイトーステーション柏店@千葉県@関東] Score: 1521919615 
204. EN453  [高知勢]    [トヤマ　レジャーランド　呉羽店@富山県@北陸] Score: 1521871625 
205. PezzA>.<  [真・千段]    [CHON SHING GAME CENTER@Hong Kong@海外] Score: 1520143947 
206. remina  [LINK PERFECT]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1519230527 
207. HASSY  [Ｓ級ワルキューレ]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1519175168 
208. ZODY  [C6H4Cl2God]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1518606427 
209. Kiririya  [中級者]    [プレイロットジョイ@東京都@関東] Score: 1518523532 
210. xx_Clark  [LOCK]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1518486429 
211. YUUTO***  [ろくでなし先生]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1517825172 
212. Hoimi*  [みんなの歌姫]    [セガ松江@島根県@中国] Score: 1516519688 
213. MiKUya  [シンセサイザ ゴッド]    [安城メトロポリス@愛知県@東海] Score: 1515751846 
214. FFF  [GROOVER]    [キャロム青梅店@東京都@関東] Score: 1515339451 
215. EXT  [仮初の満足]    [Ｈｅｙ@東京都@関東] Score: 1515193474 
216. MINE.  [Stardust God]    [ゲームファンタジア平塚@神奈川県@関東] Score: 1515064741 
217. DAGO  [年中イキっていこう～]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1514713120 
218. AKIO  [I love "Invader GIRL!"]    [ラウンドワン半田店@愛知県@東海] Score: 1514439039 
219. 387  [「プリスティンビート」]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1514379574 
220. Goat  [仮初の満足]    [セガワールド高城@大分県@九州] Score: 1513492223 
221. 27  [すっごーい！]    [ラウンドワン町田店@東京都@関東] Score: 1513249216 
222. PROCO.Jr  [うー！がぉー！]    [プラサカプコン横須賀店@神奈川県@関東] Score: 1513167237 
223. Chuckey  [SERIOUS LOOK]    [タイトーステーション大宮店@埼玉県@関東] Score: 1512846251 
224. CHIRU9  [I love チルノ]    [ＮＥＸＴ．ＯＮＥ米沢店@山形県@東北] Score: 1512801219 
225. KENTA-09  [ドリームパーティーゴッド]    [ラウンドワン横浜駅西口店@神奈川県@関東] Score: 1512757878 
226. T=YURIKA  [ヴァンパイア姫]    [ｎａｍｃｏイオンＭＫＹＯＴＯ店@京都府@近畿] Score: 1512514346 
227. mea*  [Punky Funky God]    [ソユーゲームフィールド川口店@埼玉県@関東] Score: 1512321242 
228. NANAMI!?  [SPARKLING GOD]    [ＧＲＥＡ@愛知県@東海] Score: 1510286907 
229. BYDO  [BRIER CASTLE]    [タイトー仙台クリスロード店@宮城県@東北] Score: 1510038156 
230. LEO*  [岐阜勢]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1509719515 
231. MONO  [3EX]    [セガワールドＭＥＧＡ@広島県@中国] Score: 1509680205 
232. Darful  [蘇る赤いクリスタル]    [インターワールド伊勢崎店@群馬県@関東] Score: 1509648131 
233. JUN*  [超存在ツキ]    [ドリームファクトリーいわき店@福島県@東北] Score: 1509621247 
234. SGK4444  [グルーヴ四万段]    [タイトーステーション秋葉原店@東京都@関東] Score: 1509166881 
235. 10-LL*  [最高の舞台を目指せ！]    [メジャーゲーム館@新潟県@信越] Score: 1508349027 
236. FUTAMI.M  [第四回天下一チャレンジャー]    [セガ難波アビオン@大阪府@近畿] Score: 1507971362 
237. #KEN*  [URANUS]    [ゲームファンタジアン蒲郡店@愛知県@東海] Score: 1505527622 
238. yukineko  [全都道府県グルメ完食]    [ラウンドワン大分店@大分県@九州] Score: 1505317151 
239. Hinata  [I love "マトリョシカ"]    [アミューズファクトリー@愛知県@東海] Score: 1505249477 
240. SCP-106  [たのしー！]    [ＭＡＸＩＭ　ＨＥＲＯ@北海道@北海道] Score: 1504839443 
241. BANANA  [3EX]    [ラウンドワン梅田店@大阪府@近畿] Score: 1503811433 
242. Kn3.inc  [でんぱ神]    [秋葉原ＧｉＧＯ@東京都@関東] Score: 1503473507 
243. Tokky  [MY FIRST GOD]    [タイトー札幌狸小路２丁目店@北海道@北海道] Score: 1503093095 
244. GARYU!!!  [初代SSS CLASS]    [タイトーステーション町田店@東京都@関東] Score: 1502836590 
245. mrskon-G  [旅人]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1502004955 
246. OKA-MH  [とり天]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1501927471 
247. JACK  [最高の舞台を目指せ！]    [タイトーステーション船橋店@千葉県@関東] Score: 1501112392 
248. KOTATU  [金色の異端児]    [アップル　グランリバー大井川店@静岡県@東海] Score: 1500575342 
249. e99tart  [GROOVER]    [ラウンドワン盛岡店@岩手県@東北] Score: 1500275425 
250. U.runo  [ミリアの下僕]    [Ｇ－ｓｔａｇｅ浜町@長崎県@九州] Score: 1499846378 
251. Takato.  [ピュアヒューリーズ]    [タイトーステーション南大沢店@東京都@関東] Score: 1498982384 
252. MAKURO  [奇々怪界神]    [タイトーステーション新宿東口店@東京都@関東] Score: 1498975411 
253. Twilight  [四天王奥義「三歩必殺」]    [ジャムジャムつくば店@茨城県@関東] Score: 1498926753 
254. MATH  [真・一じょ段]    [ウェアハウス南流山店@千葉県@関東] Score: 1498507573 
255. ZoKoSu  [DREAM PARTY!]    [セガ海田@広島県@中国] Score: 1496240732 
256. USA33  [HDM KING]    [ｎａｍｃｏレイクタウン店@埼玉県@関東] Score: 1495766356 
257. L  [ゆっくりしていってね！]    [DINO GAME CENTER(MODE MALL)@Taiwan@海外] Score: 1495210390 
258. tsuccho  [岐阜勢]    [中川メトロポリス@愛知県@東海] Score: 1494347482 
259. W.F.184  [I AM EDM]    [タイトーステーション溝の口店@神奈川県@関東] Score: 1494177404 
260. uit  [バジリスク]    [セガワールド高山@岐阜県@東海] Score: 1494019471 
261. R.KaBaTa  [発狂大魔人]    [TOM'S WORLD(MIRAMAR)@Taiwan@海外] Score: 1493813810 
262. 3SASAMI3  [GROOVER]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1493389424 
263. DFMEX  [神・伍級]    [セガ小名浜@福島県@東北] Score: 1492927443 
264. YooshiEX  [LINK GOD]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1490736264 
265. EB1FLY  [ドリームパーティーゴッド]    [ジャムジャムひたちなか本店@茨城県@関東] Score: 1490464398 
266. KOBA+YU!  [WONDERFUL]    [タイトーイン綾瀬@東京都@関東] Score: 1489837840 
267. MARISA  [死神]    [ｎａｍｃｏイオンモールつくば店@茨城県@関東] Score: 1489741308 
