1. marirui  [天然ボケ]    [ラウンドワン中川一号線店@愛知県@東海] Score: 1658000000 
529. CHOMOKO  [キャッチ・ザ・ハート]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1339320202 
537. CAUTION!  [GHOST]    [ＧＲＥＡ@愛知県@東海] Score: 1328318148 
542. NANARI  [I love "怪談「カーナビ」"]    [コムテックタワー@愛知県@東海] Score: 1325329561 
556. Sasanqua  [駆け出し]    [タイトーステーション大須店@愛知県@東海] Score: 1315427633 
557. R.EIMU  [God a pain cover?]    [タイトーステーション弥富店@愛知県@東海] Score: 1315064855 
560. 0_0  [無理]    [コムテックタワー@愛知県@東海] Score: 1314386488 
593. orbit  [Linear God]    [ポート２４八事店@愛知県@東海] Score: 1293566217 
635. DENPUN  [三重の食いしん坊]    [タイトーステーション大須店@愛知県@東海] Score: 1264581902 
651. @_@l<  [I LOVE リズムゲーム]    [タイトーステーション弥富店@愛知県@東海] Score: 1255750538 
664. YKL  [キャッチ・ザ・ハート]    [ＧＲＥＡ@愛知県@東海] Score: 1246491154 
740. AQUASKY  [赤ゴーグル☆]    [コムテックタワー@愛知県@東海] Score: 1200476308 
773. ethyl  [ポリリズムマスター]    [タイトーステーション大須店@愛知県@東海] Score: 1183829264 
781. NYUDORA  [無理]    [タイトーステーション弥富店@愛知県@東海] Score: 1178691895 
795. rikuoh-M  [甘い甘い神様]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1171776031 
817. CAFERIA  [しんどい]    [ゲームランド（岡崎）@愛知県@東海] Score: 1163667043 
824. KEY.MA  [甘い甘い先生]    [ラウンドワン中川一号線店@愛知県@東海] Score: 1162005461 
863. M196  [五次元神]    [タイトーステーション大須店@愛知県@東海] Score: 1136972326 
864. SYUSYOU  [Oh! Jesus!]    [セガ金山@愛知県@東海] Score: 1136271149 
866. Astral  [Z神]    [コムテックタワー@愛知県@東海] Score: 1135916480 
876. Taku_N.  [God hive of Ra]    [ユーファクトリー安城店@愛知県@東海] Score: 1131591497 
881. SoLA  [GROOVER]    [ＧＲＥＡ@愛知県@東海] Score: 1129498550 
888. KEISUKE  [グルーヴ皆伝]    [ラウンドワン半田店@愛知県@東海] Score: 1122857014 
891. SYAGE  [どんつくどんつくどんつくどんつく]    [ゲームランド（岡崎）@愛知県@東海] Score: 1120669042 
908. ZU  [クラーケン]    [ラウンドワン名古屋西春店@愛知県@東海] Score: 1112516443 
914. mkt  [BIG STAR]    [ゲームプラザ　ミッキー@愛知県@東海] Score: 1110832136 
931. C*Crow:S  [息吹神]    [セガ岡崎@愛知県@東海] Score: 1099997896 
939. Al  [Shiny★STARS God]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1096445389 
947. DJGEN115  [つらい]    [セガ安城@愛知県@東海] Score: 1091857652 
952. Gemma  [LINK CARNIVAL]    [半田メトロポリス@愛知県@東海] Score: 1090387631 
985. Karen  [railgun god]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1067123572 
993. Lexia.  [ワーウルフ]    [コムテックタワー@愛知県@東海] Score: 1064870790 
